Date,SeaLevel,Issues
15-Sep-1947 12:42:28,6981,0
15-Oct-1947 23:17:31,6963,0
15-Nov-1947 09:00:00,7115,0
15-Dec-1947 18:42:28,6981,0
15-Jan-1948 06:17:34,6981,0
14-Feb-1948 18:00:00,6963,0
16-Mar-1948 05:42:25,7005,0
15-Apr-1948 18:17:34,6972,0
16-May-1948 06:00:00,7042,0
15-Jun-1948 17:42:25,7063,0
16-Jul-1948 06:17:34,7063,0
15-Aug-1948 18:00:00,7039,0
15-Sep-1948 05:42:25,7008,0
15-Oct-1948 18:17:34,7036,0
15-Nov-1948 06:00:00,7014,0
15-Dec-1948 17:42:25,7060,0
15-Jan-1949 05:17:31,6981,0
14-Feb-1949 15:00:00,6984,0
17-Mar-1949 00:42:28,6944,0
16-Apr-1949 11:17:31,6999,0
16-May-1949 21:00:00,6999,0
16-Jun-1949 06:42:28,6975,0
16-Jul-1949 17:17:31,7014,0
16-Aug-1949 03:00:00,7011,0
15-Sep-1949 12:42:28,6987,0
15-Oct-1949 23:17:31,6993,0
15-Nov-1949 09:00:00,7027,0
15-Dec-1949 18:42:28,6877,0
15-Jan-1950 05:17:31,6905,0
14-Feb-1950 15:00:00,6954,0
17-Mar-1950 00:42:28,6890,0
16-Apr-1950 11:17:31,6954,0
16-May-1950 21:00:00,6926,0
16-Jun-1950 06:42:28,6972,0
16-Jul-1950 17:17:31,6969,0
16-Aug-1950 03:00:00,6981,0
15-Sep-1950 12:42:28,7024,0
15-Oct-1950 23:17:31,7018,0
15-Nov-1950 09:00:00,7069,0
15-Dec-1950 18:42:28,7033,0
15-Jan-1951 05:17:31,6969,0
14-Feb-1951 15:00:00,6932,0
17-Mar-1951 00:42:28,7054,0
16-Apr-1951 11:17:31,7014,0
16-May-1951 21:00:00,7048,0
16-Jun-1951 06:42:28,7042,0
16-Jul-1951 17:17:31,7024,0
16-Aug-1951 03:00:00,7030,0
15-Sep-1951 12:42:28,7027,0
15-Oct-1951 23:17:31,7027,0
15-Nov-1951 09:00:00,7042,0
15-Dec-1951 18:42:28,7002,0
15-Jan-1952 06:17:34,7014,0
14-Feb-1952 18:00:00,7063,0
16-Mar-1952 05:42:25,7018,0
15-Apr-1952 18:17:34,7005,0
16-May-1952 06:00:00,7094,0
15-Jun-1952 17:42:25,7078,0
16-Jul-1952 06:17:34,7008,0
15-Aug-1952 18:00:00,7005,0
15-Sep-1952 05:42:25,7002,0
15-Oct-1952 18:17:34,7008,0
15-Nov-1952 06:00:00,7024,0
15-Dec-1952 17:42:25,7082,0
15-Jan-1953 05:17:31,7094,0
14-Feb-1953 15:00:00,6981,0
17-Mar-1953 00:42:28,7018,0
16-Apr-1953 11:17:31,7054,0
16-May-1953 21:00:00,7051,0
16-Jun-1953 06:42:28,7024,0
16-Jul-1953 17:17:31,7008,0
16-Aug-1953 03:00:00,7039,0
15-Sep-1953 12:42:28,7030,0
15-Oct-1953 23:17:31,7011,0
15-Nov-1953 09:00:00,7024,0
15-Dec-1953 18:42:28,7027,0
15-Jan-1954 05:17:31,7030,0
14-Feb-1954 15:00:00,7027,0
17-Mar-1954 00:42:28,7024,0
16-Apr-1954 11:17:31,6969,0
16-May-1954 21:00:00,7082,0
16-Jun-1954 06:42:28,7060,0
16-Jul-1954 17:17:31,7036,0
16-Aug-1954 03:00:00,7033,0
15-Sep-1954 12:42:28,7036,0
15-Oct-1954 23:17:31,7045,0
15-Nov-1954 09:00:00,7018,0
15-Dec-1954 18:42:28,7024,0
15-Jan-1955 05:17:31,7075,0
14-Feb-1955 15:00:00,6960,0
17-Mar-1955 00:42:28,7021,0
16-Apr-1955 11:17:31,7072,0
16-May-1955 21:00:00,7072,0
16-Jun-1955 06:42:28,7075,0
16-Jul-1955 17:17:31,7042,0
16-Aug-1955 03:00:00,7042,0
15-Sep-1955 12:42:28,6972,0
15-Oct-1955 23:17:31,7048,0
15-Nov-1955 09:00:00,7054,0
15-Dec-1955 18:42:28,6923,0
15-Jan-1956 06:17:34,7036,0
14-Feb-1956 18:00:00,6972,0
16-Mar-1956 05:42:25,7024,0
15-Apr-1956 18:17:34,7048,0
16-May-1956 06:00:00,6993,0
15-Jun-1956 17:42:25,7036,0
16-Jul-1956 06:17:34,7051,0
15-Aug-1956 18:00:00,7060,0
15-Sep-1956 05:42:25,7021,0
15-Oct-1956 18:17:34,6993,0
15-Nov-1956 06:00:00,7045,0
15-Dec-1956 17:42:25,6993,0
15-Jan-1957 05:17:31,6944,0
14-Feb-1957 15:00:00,6984,0
17-Mar-1957 00:42:28,7042,0
