Date,SeaLevel,Issues
15-Jan-1973 05:17:31,7061,0
14-Feb-1973 15:00:00,7097,0
17-Mar-1973 00:42:28,7119,0
16-Apr-1973 11:17:31,7045,0
16-May-1973 21:00:00,7048,0
16-Jun-1973 06:42:28,6969,0
16-Jul-1973 17:17:31,7009,0
16-Aug-1973 03:00:00,7082,0
15-Sep-1973 12:42:28,7161,0
15-Oct-1973 23:17:31,7204,0
15-Nov-1973 09:00:00,7052,0
15-Dec-1973 18:42:28,6966,0
15-Jan-1974 05:17:31,6978,0
14-Feb-1974 15:00:00,7073,0
17-Mar-1974 00:42:28,6948,0
16-Apr-1974 11:17:31,6957,0
16-May-1974 21:00:00,7076,0
16-Jun-1974 06:42:28,7128,0
16-Jul-1974 17:17:31,7076,0
16-Aug-1974 03:00:00,7073,0
15-Sep-1974 12:42:28,7146,0
15-Oct-1974 23:17:31,7100,0
15-Nov-1974 09:00:00,7033,0
15-Dec-1974 18:42:28,7000,0
15-Jan-1975 05:17:31,6899,0
14-Feb-1975 15:00:00,7030,0
17-Mar-1975 00:42:28,7039,0
16-Apr-1975 11:17:31,6994,0
16-May-1975 21:00:00,7106,0
16-Jun-1975 06:42:28,7082,0
16-Jul-1975 17:17:31,7091,0
16-Aug-1975 03:00:00,7073,0
15-Sep-1975 12:42:28,7122,0
15-Oct-1975 23:17:31,7155,0
15-Nov-1975 09:00:00,7067,0
15-Dec-1975 18:42:28,7067,0
15-Jan-1976 06:17:34,6908,0
14-Feb-1976 18:00:00,6820,0
16-Mar-1976 05:42:25,6899,0
15-Apr-1976 18:17:34,6981,0
16-May-1976 06:00:00,6997,0
15-Jun-1976 17:42:25,7052,0
16-Jul-1976 06:17:34,7036,0
15-Aug-1976 18:00:00,7073,0
15-Sep-1976 05:42:25,7067,0
15-Oct-1976 18:17:34,7048,0
15-Nov-1976 06:00:00,6939,0
15-Dec-1976 17:42:25,6951,0
15-Jan-1977 05:17:31,6814,0
14-Feb-1977 15:00:00,6792,0
17-Mar-1977 00:42:28,6908,0
16-Apr-1977 11:17:31,6930,0
16-May-1977 21:00:00,7030,0
16-Jun-1977 06:42:28,7103,0
16-Jul-1977 17:17:31,7009,0
16-Aug-1977 03:00:00,7036,0
15-Sep-1977 12:42:28,7122,0
15-Oct-1977 23:17:31,7088,0
15-Nov-1977 09:00:00,7137,0
15-Dec-1977 18:42:28,7030,0
15-Jan-1978 05:17:31,6887,0
14-Feb-1978 15:00:00,7015,0
17-Mar-1978 00:42:28,7012,0
16-Apr-1978 11:17:31,7024,0
16-May-1978 21:00:00,7030,0
16-Jun-1978 06:42:28,7003,0
16-Jul-1978 17:17:31,7030,0
16-Aug-1978 03:00:00,7030,0
15-Sep-1978 12:42:28,7140,0
15-Oct-1978 23:17:31,7140,0
15-Nov-1978 09:00:00,7167,0
15-Dec-1978 18:42:28,6954,0
15-Jan-1979 05:17:31,6923,0
14-Feb-1979 15:00:00,6936,0
17-Mar-1979 00:42:28,6945,0
16-Apr-1979 11:17:31,6991,0
16-May-1979 21:00:00,6963,0
16-Jun-1979 06:42:28,7042,0
16-Jul-1979 17:17:31,7055,0
16-Aug-1979 03:00:00,7045,0
15-Sep-1979 12:42:28,7100,0
15-Oct-1979 23:17:31,7076,0
15-Nov-1979 09:00:00,6997,0
15-Dec-1979 18:42:28,6988,0
15-Jan-1980 06:17:34,7070,0
14-Feb-1980 18:00:00,7027,0
16-Mar-1980 05:42:25,6948,0
15-Apr-1980 18:17:34,7003,0
16-May-1980 06:00:00,7058,0
15-Jun-1980 17:42:25,7039,0
16-Jul-1980 06:17:34,6969,0
15-Aug-1980 18:00:00,6972,0
15-Sep-1980 05:42:25,7033,0
15-Oct-1980 18:17:34,7039,0
15-Nov-1980 06:00:00,6981,0
15-Dec-1980 17:42:25,6951,0
15-Jan-1981 05:17:31,6933,0
14-Feb-1981 15:00:00,6856,0
17-Mar-1981 00:42:28,6969,0
16-Apr-1981 11:17:31,6914,0
16-May-1981 21:00:00,7064,0
16-Jun-1981 06:42:28,6966,0
16-Jul-1981 17:17:31,7052,0
16-Aug-1981 03:00:00,7091,0
15-Sep-1981 12:42:28,7106,0
15-Oct-1981 23:17:31,7064,0
15-Nov-1981 09:00:00,7128,0
15-Dec-1981 18:42:28,6957,0
15-Jan-1982 05:17:31,6872,0
14-Feb-1982 15:00:00,6920,0
17-Mar-1982 00:42:28,7006,0
16-Apr-1982 11:17:31,6905,0
16-May-1982 21:00:00,6981,0
16-Jun-1982 06:42:28,7103,0
16-Jul-1982 17:17:31,7012,0
16-Aug-1982 03:00:00,7009,0
15-Sep-1982 12:42:28,7076,0
15-Oct-1982 23:17:31,7210,0
15-Nov-1982 09:00:00,7103,0
15-Dec-1982 18:42:28,7076,0
15-Jan-1983 05:17:31,7103,0
14-Feb-1983 15:00:00,7125,0
17-Mar-1983 00:42:28,7146,0
16-Apr-1983 11:17:31,7064,0
16-May-1983 21:00:00,6997,0
16-Jun-1983 06:42:28,7097,0
16-Jul-1983 17:17:31,7076,0
16-Aug-1983 03:00:00,7045,0
15-Sep-1983 12:42:28,7167,0
15-Oct-1983 23:17:31,7216,0
15-Nov-1983 09:00:00,7122,0
15-Dec-1983 18:42:28,7006,0
15-Jan-1984 06:17:34,7061,0
14-Feb-1984 18:00:00,6972,0
16-Mar-1984 05:42:25,7045,0
15-Apr-1984 18:17:34,7116,0
16-May-1984 06:00:00,7003,0
15-Jun-1984 17:42:25,7045,0
16-Jul-1984 06:17:34,6988,0
15-Aug-1984 18:00:00,7067,0
15-Sep-1984 05:42:25,7161,0
15-Oct-1984 18:17:34,7237,0
15-Nov-1984 06:00:00,7183,0
15-Dec-1984 17:42:25,7055,0
15-Jan-1985 05:17:31,7048,0
14-Feb-1985 15:00:00,6951,0
17-Mar-1985 00:42:28,6966,0
16-Apr-1985 11:17:31,6957,0
16-May-1985 21:00:00,7094,0
16-Jun-1985 06:42:28,7058,0
16-Jul-1985 17:17:31,7073,0
16-Aug-1985 03:00:00,7146,0
15-Sep-1985 12:42:28,7164,0
15-Oct-1985 23:17:31,7237,0
15-Nov-1985 09:00:00,7183,0
15-Dec-1985 18:42:28,6981,0
15-Jan-1986 05:17:31,6948,0
14-Feb-1986 15:00:00,7039,0
17-Mar-1986 00:42:28,6911,0
16-Apr-1986 11:17:31,7131,0
16-May-1986 21:00:00,7140,0
16-Jun-1986 06:42:28,7131,0
16-Jul-1986 17:17:31,7109,0
16-Aug-1986 03:00:00,7088,0
15-Sep-1986 12:42:28,7122,0
15-Oct-1986 23:17:31,7149,0
15-Nov-1986 09:00:00,7143,0
15-Dec-1986 18:42:28,7109,0
15-Jan-1987 05:17:31,7067,0
14-Feb-1987 15:00:00,7048,0
17-Mar-1987 00:42:28,7122,0
16-Apr-1987 11:17:31,7082,0
16-May-1987 21:00:00,7030,0
16-Jun-1987 06:42:28,7021,0
16-Jul-1987 17:17:31,7088,0
16-Aug-1987 03:00:00,7088,0
15-Sep-1987 12:42:28,7116,0
15-Oct-1987 23:17:31,7106,0
15-Nov-1987 09:00:00,7048,0
15-Dec-1987 18:42:28,7006,0
15-Jan-1988 06:17:34,6978,0
