Date,SeaLevel,Issues
15-Jan-1971 05:17:31,6878,0
14-Feb-1971 15:00:00,6948,0
17-Mar-1971 00:42:28,6924,0
16-Apr-1971 11:17:31,6991,0
16-May-1971 21:00:00,7030,0
16-Jun-1971 06:42:28,7067,0
16-Jul-1971 17:17:31,7021,0
16-Aug-1971 03:00:00,7012,0
15-Sep-1971 12:42:28,7104,0
15-Oct-1971 23:17:31,7195,0
15-Nov-1971 09:00:00,7116,0
15-Dec-1971 18:42:28,6930,0
15-Jan-1972 06:17:34,6908,0
14-Feb-1972 18:00:00,6908,0
16-Mar-1972 05:42:25,6997,0
15-Apr-1972 18:17:34,7040,0
16-May-1972 06:00:00,7097,0
15-Jun-1972 17:42:25,7104,0
16-Jul-1972 06:17:34,7073,0
15-Aug-1972 18:00:00,7079,0
15-Sep-1972 05:42:25,7128,0
15-Oct-1972 18:17:34,7043,0
15-Nov-1972 06:00:00,7097,0
15-Dec-1972 17:42:25,7012,0
15-Jan-1973 05:17:31,6982,0
14-Feb-1973 15:00:00,6979,0
17-Mar-1973 00:42:28,7058,0
16-Apr-1973 11:17:31,7024,0
16-May-1973 21:00:00,7058,0
16-Jun-1973 06:42:28,7027,0
16-Jul-1973 17:17:31,7067,0
16-Aug-1973 03:00:00,7079,0
15-Sep-1973 12:42:28,7110,0
15-Oct-1973 23:17:31,7091,0
15-Nov-1973 09:00:00,6915,0
15-Dec-1973 18:42:28,6915,0
15-Jan-1974 05:17:31,6982,0
14-Feb-1974 15:00:00,6942,0
17-Mar-1974 00:42:28,6905,0
16-Apr-1974 11:17:31,6933,0
16-May-1974 21:00:00,7033,0
16-Jun-1974 06:42:28,7094,0
16-Jul-1974 17:17:31,7049,0
16-Aug-1974 03:00:00,7049,0
15-Sep-1974 12:42:28,7079,0
15-Oct-1974 23:17:31,6936,0
15-Nov-1974 09:00:00,6948,0
15-Dec-1974 18:42:28,6976,0
15-Jan-1975 05:17:31,6881,0
14-Feb-1975 15:00:00,6939,0
17-Mar-1975 00:42:28,6960,1
16-Apr-1975 11:17:31,6887,1
16-May-1975 21:00:00,7049,0
16-Jun-1975 06:42:28,7058,0
16-Jul-1975 17:17:31,7070,0
16-Aug-1975 03:00:00,7046,0
15-Sep-1975 12:42:28,7091,1
15-Oct-1975 23:17:31,7085,1
15-Nov-1975 09:00:00,7052,0
15-Dec-1975 18:42:28,6969,0
15-Jan-1976 06:17:34,6872,0
14-Feb-1976 18:00:00,6866,0
16-Mar-1976 05:42:25,6951,0
15-Apr-1976 18:17:34,6939,0
16-May-1976 06:00:00,6963,0
15-Jun-1976 17:42:25,7027,0
16-Jul-1976 06:17:34,7015,0
15-Aug-1976 18:00:00,7037,1
15-Sep-1976 05:42:25,7058,1
15-Oct-1976 18:17:34,7021,0
15-Nov-1976 06:00:00,6851,0
15-Dec-1976 17:42:25,6790,0
15-Jan-1977 05:17:31,NaN,1
14-Feb-1977 15:00:00,NaN,1
17-Mar-1977 00:42:28,NaN,1
16-Apr-1977 11:17:31,NaN,1
16-May-1977 21:00:00,6948,0
16-Jun-1977 06:42:28,7015,0
16-Jul-1977 17:17:31,NaN,1
16-Aug-1977 03:00:00,NaN,1
15-Sep-1977 12:42:28,7131,0
15-Oct-1977 23:17:31,7183,0
15-Nov-1977 09:00:00,NaN,1
15-Dec-1977 18:42:28,NaN,1
15-Jan-1978 05:17:31,6902,0
14-Feb-1978 15:00:00,6930,0
17-Mar-1978 00:42:28,6942,0
16-Apr-1978 11:17:31,7033,0
16-May-1978 21:00:00,7073,0
16-Jun-1978 06:42:28,7052,1
16-Jul-1978 17:17:31,7067,1
16-Aug-1978 03:00:00,7049,1
15-Sep-1978 12:42:28,7113,0
15-Oct-1978 23:17:31,6988,1
15-Nov-1978 09:00:00,7067,0
15-Dec-1978 18:42:28,6881,0
15-Jan-1979 05:17:31,6915,1
14-Feb-1979 15:00:00,6930,1
17-Mar-1979 00:42:28,6966,0
16-Apr-1979 11:17:31,6988,0
16-May-1979 21:00:00,7006,0
16-Jun-1979 06:42:28,7043,0
16-Jul-1979 17:17:31,7043,0
16-Aug-1979 03:00:00,7064,0
15-Sep-1979 12:42:28,7110,0
15-Oct-1979 23:17:31,7037,0
15-Nov-1979 09:00:00,6988,0
15-Dec-1979 18:42:28,6872,0
15-Jan-1980 06:17:34,6930,0
14-Feb-1980 18:00:00,6860,0
16-Mar-1980 05:42:25,6848,0
15-Apr-1980 18:17:34,7018,0
16-May-1980 06:00:00,7037,0
