Date,SeaLevel,Issues
15-Oct-1978 23:17:31,7113,0
15-Nov-1978 09:00:00,7140,0
15-Dec-1978 18:42:28,6979,0
15-Jan-1979 05:17:31,6930,0
14-Feb-1979 15:00:00,6954,0
17-Mar-1979 00:42:28,6887,0
16-Apr-1979 11:17:31,6933,0
16-May-1979 21:00:00,6875,0
16-Jun-1979 06:42:28,6954,0
16-Jul-1979 17:17:31,6967,0
16-Aug-1979 03:00:00,6967,0
15-Sep-1979 12:42:28,7064,0
15-Oct-1979 23:17:31,7067,0
15-Nov-1979 09:00:00,6967,0
15-Dec-1979 18:42:28,7031,0
15-Jan-1980 06:17:34,7101,0
14-Feb-1980 18:00:00,6997,0
16-Mar-1980 05:42:25,6909,0
15-Apr-1980 18:17:34,6967,0
16-May-1980 06:00:00,7034,0
15-Jun-1980 17:42:25,6991,0
16-Jul-1980 06:17:34,6939,0
15-Aug-1980 18:00:00,6948,0
15-Sep-1980 05:42:25,6976,0
15-Oct-1980 18:17:34,7003,0
15-Nov-1980 06:00:00,6973,0
15-Dec-1980 17:42:25,6903,0
15-Jan-1981 05:17:31,6890,0
14-Feb-1981 15:00:00,6820,0
17-Mar-1981 00:42:28,6936,0
16-Apr-1981 11:17:31,6851,0
16-May-1981 21:00:00,7015,0
16-Jun-1981 06:42:28,6918,0
16-Jul-1981 17:17:31,6997,0
16-Aug-1981 03:00:00,7034,0
15-Sep-1981 12:42:28,7055,0
15-Oct-1981 23:17:31,7018,0
15-Nov-1981 09:00:00,7076,0
15-Dec-1981 18:42:28,6939,0
15-Jan-1982 05:17:31,6848,0
14-Feb-1982 15:00:00,6857,0
17-Mar-1982 00:42:28,6906,0
16-Apr-1982 11:17:31,6817,0
16-May-1982 21:00:00,6954,0
16-Jun-1982 06:42:28,7058,0
16-Jul-1982 17:17:31,6973,0
16-Aug-1982 03:00:00,6964,0
15-Sep-1982 12:42:28,7022,0
15-Oct-1982 23:17:31,7168,0
15-Nov-1982 09:00:00,7009,0
15-Dec-1982 18:42:28,7006,0
15-Jan-1983 05:17:31,7037,0
14-Feb-1983 15:00:00,7116,0
17-Mar-1983 00:42:28,7153,0
16-Apr-1983 11:17:31,7025,0
16-May-1983 21:00:00,6948,0
16-Jun-1983 06:42:28,7009,0
16-Jul-1983 17:17:31,7028,0
16-Aug-1983 03:00:00,7037,0
15-Sep-1983 12:42:28,7128,0
15-Oct-1983 23:17:31,7168,0
15-Nov-1983 09:00:00,7098,0
15-Dec-1983 18:42:28,7031,0
15-Jan-1984 06:17:34,7055,0
14-Feb-1984 18:00:00,6976,0
16-Mar-1984 05:42:25,7028,0
15-Apr-1984 18:17:34,7125,0
16-May-1984 06:00:00,6961,0
15-Jun-1984 17:42:25,6982,0
16-Jul-1984 06:17:34,6958,0
15-Aug-1984 18:00:00,7070,0
15-Sep-1984 05:42:25,7131,0
15-Oct-1984 18:17:34,7198,0
15-Nov-1984 06:00:00,7110,0
15-Dec-1984 17:42:25,6979,0
15-Jan-1985 05:17:31,7015,0
14-Feb-1985 15:00:00,6900,0
17-Mar-1985 00:42:28,6897,0
16-Apr-1985 11:17:31,6927,0
16-May-1985 21:00:00,7025,0
16-Jun-1985 06:42:28,6985,0
16-Jul-1985 17:17:31,7006,0
16-Aug-1985 03:00:00,7098,0
15-Sep-1985 12:42:28,7110,0
15-Oct-1985 23:17:31,7122,0
15-Nov-1985 09:00:00,7128,0
15-Dec-1985 18:42:28,6991,0
15-Jan-1986 05:17:31,6945,0
14-Feb-1986 15:00:00,7022,0
17-Mar-1986 00:42:28,6881,0
16-Apr-1986 11:17:31,7119,0
16-May-1986 21:00:00,7098,0
16-Jun-1986 06:42:28,7082,0
16-Jul-1986 17:17:31,7070,0
16-Aug-1986 03:00:00,7055,0
15-Sep-1986 12:42:28,7089,0
15-Oct-1986 23:17:31,7146,0
15-Nov-1986 09:00:00,7113,0
15-Dec-1986 18:42:28,7067,0
15-Jan-1987 05:17:31,7058,0
14-Feb-1987 15:00:00,7025,0
17-Mar-1987 00:42:28,7079,0
16-Apr-1987 11:17:31,7076,0
16-May-1987 21:00:00,7003,0
16-Jun-1987 06:42:28,6988,0
16-Jul-1987 17:17:31,7058,0
16-Aug-1987 03:00:00,7061,0
15-Sep-1987 12:42:28,7082,0
15-Oct-1987 23:17:31,7079,0
15-Nov-1987 09:00:00,7009,0
15-Dec-1987 18:42:28,6997,0
15-Jan-1988 06:17:34,6948,0
14-Feb-1988 18:00:00,6936,0
16-Mar-1988 05:42:25,6924,0
15-Apr-1988 18:17:34,7086,0
16-May-1988 06:00:00,7025,0
15-Jun-1988 17:42:25,7052,0
16-Jul-1988 06:17:34,6942,0
15-Aug-1988 18:00:00,6988,0
15-Sep-1988 05:42:25,7092,0
15-Oct-1988 18:17:34,7086,0
15-Nov-1988 06:00:00,6994,0
15-Dec-1988 17:42:25,6912,0
15-Jan-1989 05:17:31,6930,0
14-Feb-1989 15:00:00,6964,0
17-Mar-1989 00:42:28,7031,0
16-Apr-1989 11:17:31,6954,0
16-May-1989 21:00:00,7009,0
16-Jun-1989 06:42:28,6954,0
16-Jul-1989 17:17:31,6988,0
16-Aug-1989 03:00:00,7070,0
15-Sep-1989 12:42:28,7092,0
15-Oct-1989 23:17:31,7055,0
15-Nov-1989 09:00:00,6948,0
15-Dec-1989 18:42:28,6951,0
15-Jan-1990 05:17:31,6820,0
14-Feb-1990 15:00:00,6863,0
17-Mar-1990 00:42:28,6924,0
16-Apr-1990 11:17:31,6924,0
16-May-1990 21:00:00,7012,0
16-Jun-1990 06:42:28,6997,0
16-Jul-1990 17:17:31,6970,0
16-Aug-1990 03:00:00,7067,0
15-Sep-1990 12:42:28,7125,0
15-Oct-1990 23:17:31,7089,0
15-Nov-1990 09:00:00,7040,0
15-Dec-1990 18:42:28,6918,0
15-Jan-1991 05:17:31,7015,0
14-Feb-1991 15:00:00,6903,0
