Date,SeaLevel,Issues
15-Oct-1947 23:17:31,6986,0
15-Nov-1947 09:00:00,7092,0
15-Dec-1947 18:42:28,6867,0
15-Jan-1948 06:17:34,6891,0
14-Feb-1948 18:00:00,6909,1
16-Mar-1948 05:42:25,6943,0
15-Apr-1948 18:17:34,6937,0
16-May-1948 06:00:00,7016,0
15-Jun-1948 17:42:25,7034,0
16-Jul-1948 06:17:34,7047,0
15-Aug-1948 18:00:00,7028,0
15-Sep-1948 05:42:25,7041,0
15-Oct-1948 18:17:34,7098,0
15-Nov-1948 06:00:00,7025,0
15-Dec-1948 17:42:25,7056,0
15-Jan-1949 05:17:31,6955,0
14-Feb-1949 15:00:00,6964,0
17-Mar-1949 00:42:28,6903,0
16-Apr-1949 11:17:31,6983,0
16-May-1949 21:00:00,6989,0
16-Jun-1949 06:42:28,6967,0
16-Jul-1949 17:17:31,7010,0
16-Aug-1949 03:00:00,7031,0
15-Sep-1949 12:42:28,7010,0
15-Oct-1949 23:17:31,7022,0
15-Nov-1949 09:00:00,7010,0
15-Dec-1949 18:42:28,6842,0
15-Jan-1950 05:17:31,6870,0
14-Feb-1950 15:00:00,6913,0
17-Mar-1950 00:42:28,6803,0
16-Apr-1950 11:17:31,6931,0
16-May-1950 21:00:00,6894,0
16-Jun-1950 06:42:28,6925,0
16-Jul-1950 17:17:31,6949,0
16-Aug-1950 03:00:00,6998,0
15-Sep-1950 12:42:28,7019,0
15-Oct-1950 23:17:31,7004,0
15-Nov-1950 09:00:00,7050,0
15-Dec-1950 18:42:28,6992,0
15-Jan-1951 05:17:31,6909,0
14-Feb-1951 15:00:00,6909,0
17-Mar-1951 00:42:28,7053,0
16-Apr-1951 11:17:31,6980,0
16-May-1951 21:00:00,7037,0
16-Jun-1951 06:42:28,7071,0
16-Jul-1951 17:17:31,7013,0
16-Aug-1951 03:00:00,7050,0
15-Sep-1951 12:42:28,7044,0
15-Oct-1951 23:17:31,7065,0
15-Nov-1951 09:00:00,7004,0
15-Dec-1951 18:42:28,6931,0
15-Jan-1952 06:17:34,6973,0
14-Feb-1952 18:00:00,6973,0
16-Mar-1952 05:42:25,7007,0
15-Apr-1952 18:17:34,6977,0
16-May-1952 06:00:00,7062,0
15-Jun-1952 17:42:25,7041,0
16-Jul-1952 06:17:34,6980,0
15-Aug-1952 18:00:00,7013,0
15-Sep-1952 05:42:25,7044,1
15-Oct-1952 18:17:34,6995,1
15-Nov-1952 06:00:00,7041,0
15-Dec-1952 17:42:25,7062,0
15-Jan-1953 05:17:31,7037,0
14-Feb-1953 15:00:00,6873,1
17-Mar-1953 00:42:28,6983,0
16-Apr-1953 11:17:31,7007,0
16-May-1953 21:00:00,7059,0
16-Jun-1953 06:42:28,7013,0
16-Jul-1953 17:17:31,7013,0
16-Aug-1953 03:00:00,7034,0
15-Sep-1953 12:42:28,7047,0
15-Oct-1953 23:17:31,7056,0
15-Nov-1953 09:00:00,7044,0
15-Dec-1953 18:42:28,6931,0
15-Jan-1954 05:17:31,6967,0
14-Feb-1954 15:00:00,6961,0
17-Mar-1954 00:42:28,6934,0
16-Apr-1954 11:17:31,6916,0
16-May-1954 21:00:00,7062,0
16-Jun-1954 06:42:28,7044,0
16-Jul-1954 17:17:31,7044,0
16-Aug-1954 03:00:00,7037,0
15-Sep-1954 12:42:28,7041,0
15-Oct-1954 23:17:31,7050,0
15-Nov-1954 09:00:00,6995,0
15-Dec-1954 18:42:28,6949,0
15-Jan-1955 05:17:31,7013,0
14-Feb-1955 15:00:00,6919,0
17-Mar-1955 00:42:28,6919,0
16-Apr-1955 11:17:31,7059,0
16-May-1955 21:00:00,7004,0
16-Jun-1955 06:42:28,7077,0
16-Jul-1955 17:17:31,7053,0
16-Aug-1955 03:00:00,7077,0
15-Sep-1955 12:42:28,7059,0
15-Oct-1955 23:17:31,7123,0
15-Nov-1955 09:00:00,7062,0
15-Dec-1955 18:42:28,6913,0
15-Jan-1956 06:17:34,7071,0
14-Feb-1956 18:00:00,6925,0
16-Mar-1956 05:42:25,7004,0
15-Apr-1956 18:17:34,7025,0
16-May-1956 06:00:00,6973,0
15-Jun-1956 17:42:25,7037,0
16-Jul-1956 06:17:34,7059,0
15-Aug-1956 18:00:00,7101,0
15-Sep-1956 05:42:25,7092,0
15-Oct-1956 18:17:34,7071,0
15-Nov-1956 06:00:00,7028,0
15-Dec-1956 17:42:25,6977,0
15-Jan-1957 05:17:31,6888,0
14-Feb-1957 15:00:00,6952,0
17-Mar-1957 00:42:28,7031,0
