Date,SeaLevel,Issues
15-Jan-2006 05:17:31,6837,0
14-Feb-2006 15:00:00,6923,0
17-Mar-2006 00:42:28,7019,0
16-Apr-2006 11:17:31,6985,0
16-May-2006 21:00:00,6978,0
16-Jun-2006 06:42:28,7024,0
16-Jul-2006 17:17:31,7019,0
16-Aug-2006 03:00:00,7017,0
15-Sep-2006 12:42:28,7143,0
15-Oct-2006 23:17:31,7165,0
15-Nov-2006 09:00:00,7039,0
15-Dec-2006 18:42:28,7019,0
15-Jan-2007 05:17:31,7038,0
14-Feb-2007 15:00:00,6870,0
17-Mar-2007 00:42:28,6990,0
16-Apr-2007 11:17:31,7021,0
16-May-2007 21:00:00,7221,0
16-Jun-2007 06:42:28,7099,0
16-Jul-2007 17:17:31,7008,0
16-Aug-2007 03:00:00,7100,0
15-Sep-2007 12:42:28,7216,0
15-Oct-2007 23:17:31,7302,0
15-Nov-2007 09:00:00,7088,0
15-Dec-2007 18:42:28,7012,0
15-Jan-2008 06:17:34,7028,0
14-Feb-2008 18:00:00,6973,0
16-Mar-2008 05:42:25,7018,0
15-Apr-2008 18:17:34,7199,0
16-May-2008 06:00:00,7150,0
15-Jun-2008 17:42:25,7055,0
16-Jul-2008 06:17:34,7028,0
15-Aug-2008 18:00:00,6970,0
15-Sep-2008 05:42:25,7555,0
15-Oct-2008 18:17:34,7285,0
15-Nov-2008 06:00:00,7088,0
15-Dec-2008 17:42:25,6995,0
15-Jan-2009 05:17:31,6895,0
14-Feb-2009 15:00:00,NaN,1
17-Mar-2009 00:42:28,NaN,1
16-Apr-2009 11:17:31,7107,0
16-May-2009 21:00:00,7182,0
16-Jun-2009 06:42:28,6970,0
16-Jul-2009 17:17:31,6970,0
16-Aug-2009 03:00:00,7127,0
15-Sep-2009 12:42:28,7364,0
15-Oct-2009 23:17:31,7283,0
15-Nov-2009 09:00:00,7235,0
15-Dec-2009 18:42:28,7268,0
15-Jan-2010 05:17:31,6986,0
14-Feb-2010 15:00:00,6996,0
17-Mar-2010 00:42:28,6893,0
16-Apr-2010 11:17:31,7040,0
16-May-2010 21:00:00,7158,0
16-Jun-2010 06:42:28,7144,0
16-Jul-2010 17:17:31,7258,0
16-Aug-2010 03:00:00,7163,0
15-Sep-2010 12:42:28,7354,0
15-Oct-2010 23:17:31,7092,0
15-Nov-2010 09:00:00,7109,0
15-Dec-2010 18:42:28,6862,0
15-Jan-2011 05:17:31,6895,0
14-Feb-2011 15:00:00,6855,0
17-Mar-2011 00:42:28,7098,0
16-Apr-2011 11:17:31,7035,0
16-May-2011 21:00:00,7248,0
16-Jun-2011 06:42:28,7148,0
16-Jul-2011 17:17:31,7034,0
16-Aug-2011 03:00:00,7019,0
15-Sep-2011 12:42:28,7271,0
15-Oct-2011 23:17:31,7158,0
15-Nov-2011 09:00:00,7164,0
15-Dec-2011 18:42:28,7080,0
15-Jan-2012 06:17:34,6922,0
14-Feb-2012 18:00:00,7083,0
16-Mar-2012 05:42:25,7164,0
15-Apr-2012 18:17:34,7134,0
16-May-2012 06:00:00,7149,0
15-Jun-2012 17:42:25,7254,0
16-Jul-2012 06:17:34,7129,0
15-Aug-2012 18:00:00,7265,0
