Date,SeaLevel,Issues
16-May-1923 21:00:00,7040,0
16-Jun-1923 06:42:28,7055,0
16-Jul-1923 17:17:31,6958,0
16-Aug-1923 03:00:00,6985,0
15-Sep-1923 12:42:28,7049,0
15-Oct-1923 23:17:31,7070,0
15-Nov-1923 09:00:00,6924,0
15-Dec-1923 18:42:28,6875,0
15-Jan-1924 06:17:34,6787,0
14-Feb-1924 18:00:00,6811,0
16-Mar-1924 05:42:25,6857,0
15-Apr-1924 18:17:34,6784,0
16-May-1924 06:00:00,6802,0
15-Jun-1924 17:42:25,6906,0
16-Jul-1924 06:17:34,6921,0
15-Aug-1924 18:00:00,6912,0
15-Sep-1924 05:42:25,7037,0
15-Oct-1924 18:17:34,6979,0
15-Nov-1924 06:00:00,6891,0
15-Dec-1924 17:42:25,6787,0
15-Jan-1925 05:17:31,6869,0
14-Feb-1925 15:00:00,6872,0
17-Mar-1925 00:42:28,6830,0
16-Apr-1925 11:17:31,6866,0
16-May-1925 21:00:00,6881,0
16-Jun-1925 06:42:28,6909,0
16-Jul-1925 17:17:31,6869,0
16-Aug-1925 03:00:00,6930,0
15-Sep-1925 12:42:28,6991,0
15-Oct-1925 23:17:31,6976,0
15-Nov-1925 09:00:00,6970,0
15-Dec-1925 18:42:28,6808,0
15-Jan-1926 05:17:31,6772,0
14-Feb-1926 15:00:00,6760,0
17-Mar-1926 00:42:28,6811,0
16-Apr-1926 11:17:31,6860,0
16-May-1926 21:00:00,6869,0
16-Jun-1926 06:42:28,6897,0
16-Jul-1926 17:17:31,6869,0
16-Aug-1926 03:00:00,7055,0
15-Sep-1926 12:42:28,7153,0
15-Oct-1926 23:17:31,7067,0
15-Nov-1926 09:00:00,6897,0
15-Dec-1926 18:42:28,6921,0
15-Jan-1927 05:17:31,6787,0
14-Feb-1927 15:00:00,6909,0
17-Mar-1927 00:42:28,6885,0
16-Apr-1927 11:17:31,6949,0
16-May-1927 21:00:00,6909,0
16-Jun-1927 06:42:28,6961,0
16-Jul-1927 17:17:31,6991,0
16-Aug-1927 03:00:00,6991,0
15-Sep-1927 12:42:28,6982,0
15-Oct-1927 23:17:31,6942,0
15-Nov-1927 09:00:00,6927,0
15-Dec-1927 18:42:28,6869,0
15-Jan-1928 06:17:34,6726,0
14-Feb-1928 18:00:00,6766,0
16-Mar-1928 05:42:25,6839,0
15-Apr-1928 18:17:34,6900,0
16-May-1928 06:00:00,6964,0
15-Jun-1928 17:42:25,6955,0
16-Jul-1928 06:17:34,6945,0
15-Aug-1928 18:00:00,6991,0
15-Sep-1928 05:42:25,7040,0
15-Oct-1928 18:17:34,6994,0
15-Nov-1928 06:00:00,6903,0
15-Dec-1928 17:42:25,6875,0
15-Jan-1929 05:17:31,6833,0
14-Feb-1929 15:00:00,6888,0
17-Mar-1929 00:42:28,7052,0
16-Apr-1929 11:17:31,7022,0
16-May-1929 21:00:00,7016,0
16-Jun-1929 06:42:28,7031,0
16-Jul-1929 17:17:31,7073,0
16-Aug-1929 03:00:00,7040,0
15-Sep-1929 12:42:28,7104,0
15-Oct-1929 23:17:31,7016,0
15-Nov-1929 09:00:00,7003,0
15-Dec-1929 18:42:28,6860,0
15-Jan-1930 05:17:31,6851,0
14-Feb-1930 15:00:00,6894,0
17-Mar-1930 00:42:28,6863,0
16-Apr-1930 11:17:31,6885,0
16-May-1930 21:00:00,6945,0
16-Jun-1930 06:42:28,6921,0
16-Jul-1930 17:17:31,6875,0
