Date,SeaLevel,Issues
15-Jan-1985 05:17:31,6830,0
14-Feb-1985 15:00:00,6882,0
17-Mar-1985 00:42:28,6906,0
16-Apr-1985 11:17:31,7001,0
16-May-1985 21:00:00,7086,0
16-Jun-1985 06:42:28,7049,0
16-Jul-1985 17:17:31,7074,0
16-Aug-1985 03:00:00,7095,0
15-Sep-1985 12:42:28,7080,0
15-Oct-1985 23:17:31,7098,0
15-Nov-1985 09:00:00,7193,0
15-Dec-1985 18:42:28,6946,0
15-Jan-1986 05:17:31,NaN,1
14-Feb-1986 15:00:00,7022,0
17-Mar-1986 00:42:28,6897,0
16-Apr-1986 11:17:31,7144,0
16-May-1986 21:00:00,7107,0
16-Jun-1986 06:42:28,7037,0
16-Jul-1986 17:17:31,7092,0
16-Aug-1986 03:00:00,7107,0
15-Sep-1986 12:42:28,7071,0
15-Oct-1986 23:17:31,7089,0
15-Nov-1986 09:00:00,7001,0
15-Dec-1986 18:42:28,6998,0
15-Jan-1987 05:17:31,6955,0
14-Feb-1987 15:00:00,6888,0
17-Mar-1987 00:42:28,7116,0
16-Apr-1987 11:17:31,7165,0
16-May-1987 21:00:00,7058,0
16-Jun-1987 06:42:28,7089,0
16-Jul-1987 17:17:31,7107,0
16-Aug-1987 03:00:00,7132,0
15-Sep-1987 12:42:28,7147,0
15-Oct-1987 23:17:31,7025,0
15-Nov-1987 09:00:00,6985,0
15-Dec-1987 18:42:28,6976,0
15-Jan-1988 06:17:34,6842,0
14-Feb-1988 18:00:00,6937,0
16-Mar-1988 05:42:25,6909,0
15-Apr-1988 18:17:34,7126,0
16-May-1988 06:00:00,7113,0
15-Jun-1988 17:42:25,7062,0
16-Jul-1988 06:17:34,7028,0
15-Aug-1988 18:00:00,7058,0
15-Sep-1988 05:42:25,7043,0
15-Oct-1988 18:17:34,7010,0
15-Nov-1988 06:00:00,6949,0
15-Dec-1988 17:42:25,6879,0
15-Jan-1989 05:17:31,6907,0
14-Feb-1989 15:00:00,6907,0
17-Mar-1989 00:42:28,6987,0
16-Apr-1989 11:17:31,6977,0
16-May-1989 21:00:00,7107,0
16-Jun-1989 06:42:28,7097,0
16-Jul-1989 17:17:31,7107,0
16-Aug-1989 03:00:00,7127,0
15-Sep-1989 12:42:28,7147,0
15-Oct-1989 23:17:31,7077,0
15-Nov-1989 09:00:00,6947,0
15-Dec-1989 18:42:28,6787,0
15-Jan-1990 05:17:31,6857,0
14-Feb-1990 15:00:00,6907,0
17-Mar-1990 00:42:28,6917,0
16-Apr-1990 11:17:31,6967,0
16-May-1990 21:00:00,7087,0
16-Jun-1990 06:42:28,7057,0
16-Jul-1990 17:17:31,7097,0
16-Aug-1990 03:00:00,7127,0
15-Sep-1990 12:42:28,7127,0
15-Oct-1990 23:17:31,7057,0
15-Nov-1990 09:00:00,6957,0
15-Dec-1990 18:42:28,6937,0
15-Jan-1991 05:17:31,7001,0
14-Feb-1991 15:00:00,6921,0
17-Mar-1991 00:42:28,7068,0
16-Apr-1991 11:17:31,7040,0
16-May-1991 21:00:00,7086,0
16-Jun-1991 06:42:28,7113,0
16-Jul-1991 17:17:31,7123,0
16-Aug-1991 03:00:00,7092,0
15-Sep-1991 12:42:28,7092,0
15-Oct-1991 23:17:31,7104,0
15-Nov-1991 09:00:00,7040,0
15-Dec-1991 18:42:28,6918,0
15-Jan-1992 06:17:34,6943,0
14-Feb-1992 18:00:00,6976,0
16-Mar-1992 05:42:25,6970,0
15-Apr-1992 18:17:34,7065,0
16-May-1992 06:00:00,7141,0
15-Jun-1992 17:42:25,7144,0
16-Jul-1992 06:17:34,7132,0
15-Aug-1992 18:00:00,7107,0
15-Sep-1992 05:42:25,7110,0
15-Oct-1992 18:17:34,7058,0
15-Nov-1992 06:00:00,7077,0
15-Dec-1992 17:42:25,7013,0
15-Jan-1993 05:17:31,6982,0
14-Feb-1993 15:00:00,6973,0
17-Mar-1993 00:42:28,7004,0
16-Apr-1993 11:17:31,7196,0
16-May-1993 21:00:00,NaN,1
16-Jun-1993 06:42:28,NaN,1
16-Jul-1993 17:17:31,7116,0
16-Aug-1993 03:00:00,7141,0
15-Sep-1993 12:42:28,7126,0
15-Oct-1993 23:17:31,7092,0
15-Nov-1993 09:00:00,7010,0
15-Dec-1993 18:42:28,7037,0
15-Jan-1994 05:17:31,NaN,1
14-Feb-1994 15:00:00,NaN,1
17-Mar-1994 00:42:28,NaN,1
16-Apr-1994 11:17:31,NaN,1
16-May-1994 21:00:00,NaN,1
16-Jun-1994 06:42:28,NaN,1
16-Jul-1994 17:17:31,7089,0
16-Aug-1994 03:00:00,7089,0
15-Sep-1994 12:42:28,7107,0
15-Oct-1994 23:17:31,7101,0
15-Nov-1994 09:00:00,6961,0
15-Dec-1994 18:42:28,7034,0
15-Jan-1995 05:17:31,6934,0
14-Feb-1995 15:00:00,6790,0
17-Mar-1995 00:42:28,7010,0
16-Apr-1995 11:17:31,6985,0
16-May-1995 21:00:00,7116,0
16-Jun-1995 06:42:28,NaN,1
16-Jul-1995 17:17:31,NaN,1
16-Aug-1995 03:00:00,7211,0
15-Sep-1995 12:42:28,7168,0
15-Oct-1995 23:17:31,7107,0
15-Nov-1995 09:00:00,7034,0
15-Dec-1995 18:42:28,6937,0
15-Jan-1996 06:17:34,NaN,1
14-Feb-1996 18:00:00,NaN,1
16-Mar-1996 05:42:25,6971,0
15-Apr-1996 18:17:34,7096,0
16-May-1996 06:00:00,7105,0
15-Jun-1996 17:42:25,7132,0
16-Jul-1996 06:17:34,7116,0
15-Aug-1996 18:00:00,7156,0
