Date,SeaLevel,Issues
16-May-1967 21:00:00,6873,0
16-Jun-1967 06:42:28,6940,0
16-Jul-1967 17:17:31,6910,0
16-Aug-1967 03:00:00,6965,0
15-Sep-1967 12:42:28,6953,0
15-Oct-1967 23:17:31,6870,0
15-Nov-1967 09:00:00,6855,0
15-Dec-1967 18:42:28,6901,0
15-Jan-1968 06:17:34,6785,0
14-Feb-1968 18:00:00,6700,0
16-Mar-1968 05:42:25,6739,0
15-Apr-1968 18:17:34,6800,0
16-May-1968 06:00:00,6779,0
15-Jun-1968 17:42:25,6791,0
16-Jul-1968 06:17:34,6889,0
15-Aug-1968 18:00:00,6901,0
15-Sep-1968 05:42:25,6943,1
15-Oct-1968 18:17:34,6892,0
15-Nov-1968 06:00:00,6782,0
15-Dec-1968 17:42:25,6727,0
15-Jan-1969 05:17:31,6736,0
14-Feb-1969 15:00:00,6782,0
17-Mar-1969 00:42:28,6767,1
16-Apr-1969 11:17:31,6825,0
16-May-1969 21:00:00,6815,0
16-Jun-1969 06:42:28,6879,0
16-Jul-1969 17:17:31,6861,0
16-Aug-1969 03:00:00,6956,0
15-Sep-1969 12:42:28,6910,0
15-Oct-1969 23:17:31,6931,0
15-Nov-1969 09:00:00,6779,0
15-Dec-1969 18:42:28,6773,0
15-Jan-1970 05:17:31,6678,0
14-Feb-1970 15:00:00,6712,0
17-Mar-1970 00:42:28,6861,0
16-Apr-1970 11:17:31,NaN,1
16-May-1970 21:00:00,NaN,1
16-Jun-1970 06:42:28,6907,0
16-Jul-1970 17:17:31,NaN,1
16-Aug-1970 03:00:00,NaN,1
15-Sep-1970 12:42:28,NaN,1
15-Oct-1970 23:17:31,NaN,1
15-Nov-1970 09:00:00,NaN,1
15-Dec-1970 18:42:28,6828,0
15-Jan-1971 05:17:31,6800,0
14-Feb-1971 15:00:00,6812,0
17-Mar-1971 00:42:28,6852,0
16-Apr-1971 11:17:31,NaN,1
16-May-1971 21:00:00,NaN,1
16-Jun-1971 06:42:28,NaN,1
16-Jul-1971 17:17:31,NaN,1
16-Aug-1971 03:00:00,NaN,1
15-Sep-1971 12:42:28,NaN,1
15-Oct-1971 23:17:31,NaN,1
15-Nov-1971 09:00:00,NaN,1
15-Dec-1971 18:42:28,NaN,1
15-Jan-1972 06:17:34,6809,1
14-Feb-1972 18:00:00,6712,1
16-Mar-1972 05:42:25,6846,1
15-Apr-1972 18:17:34,6895,1
16-May-1972 06:00:00,6953,0
15-Jun-1972 17:42:25,7007,0
16-Jul-1972 06:17:34,6977,0
15-Aug-1972 18:00:00,6925,0
15-Sep-1972 05:42:25,7014,0
15-Oct-1972 18:17:34,6983,1
15-Nov-1972 06:00:00,6946,0
15-Dec-1972 17:42:25,6886,0
15-Jan-1973 05:17:31,6928,0
14-Feb-1973 15:00:00,6931,0
17-Mar-1973 00:42:28,7010,0
16-Apr-1973 11:17:31,7068,0
16-May-1973 21:00:00,6962,0
16-Jun-1973 06:42:28,6962,0
16-Jul-1973 17:17:31,6913,0
16-Aug-1973 03:00:00,6974,0
15-Sep-1973 12:42:28,7041,0
15-Oct-1973 23:17:31,6995,0
15-Nov-1973 09:00:00,6971,0
15-Dec-1973 18:42:28,6834,0
15-Jan-1974 05:17:31,6855,0
14-Feb-1974 15:00:00,6873,0
17-Mar-1974 00:42:28,6840,0
16-Apr-1974 11:17:31,6922,0
16-May-1974 21:00:00,6950,0
16-Jun-1974 06:42:28,6943,0
16-Jul-1974 17:17:31,6898,0
16-Aug-1974 03:00:00,6922,0
15-Sep-1974 12:42:28,7053,0
15-Oct-1974 23:17:31,6983,1
15-Nov-1974 09:00:00,6855,0
15-Dec-1974 18:42:28,6825,1
15-Jan-1975 05:17:31,NaN,1
14-Feb-1975 15:00:00,6962,0
17-Mar-1975 00:42:28,6946,0
16-Apr-1975 11:17:31,NaN,1
16-May-1975 21:00:00,NaN,1
16-Jun-1975 06:42:28,6953,0
16-Jul-1975 17:17:31,7035,0
16-Aug-1975 03:00:00,7087,0
15-Sep-1975 12:42:28,7087,0
15-Oct-1975 23:17:31,NaN,1
15-Nov-1975 09:00:00,NaN,1
15-Dec-1975 18:42:28,NaN,1
15-Jan-1976 06:17:34,NaN,1
14-Feb-1976 18:00:00,NaN,1
16-Mar-1976 05:42:25,6822,0
15-Apr-1976 18:17:34,6901,0
16-May-1976 06:00:00,6950,0
15-Jun-1976 17:42:25,7026,0
16-Jul-1976 06:17:34,6889,0
15-Aug-1976 18:00:00,6895,0
15-Sep-1976 05:42:25,6937,0
15-Oct-1976 18:17:34,6886,0
15-Nov-1976 06:00:00,NaN,1
15-Dec-1976 17:42:25,NaN,1
15-Jan-1977 05:17:31,6776,0
14-Feb-1977 15:00:00,6715,0
17-Mar-1977 00:42:28,6870,0
16-Apr-1977 11:17:31,6873,0
16-May-1977 21:00:00,6904,0
16-Jun-1977 06:42:28,6873,0
16-Jul-1977 17:17:31,6889,0
16-Aug-1977 03:00:00,6989,0
15-Sep-1977 12:42:28,7062,0
15-Oct-1977 23:17:31,6876,0
15-Nov-1977 09:00:00,6922,0
15-Dec-1977 18:42:28,6794,0
15-Jan-1978 05:17:31,6721,0
14-Feb-1978 15:00:00,6849,0
17-Mar-1978 00:42:28,6840,0
16-Apr-1978 11:17:31,6846,0
16-May-1978 21:00:00,6943,0
16-Jun-1978 06:42:28,6928,0
16-Jul-1978 17:17:31,6925,0
16-Aug-1978 03:00:00,6931,0
15-Sep-1978 12:42:28,6986,0
15-Oct-1978 23:17:31,6946,0
15-Nov-1978 09:00:00,6953,0
15-Dec-1978 18:42:28,6803,0
15-Jan-1979 05:17:31,6782,1
14-Feb-1979 15:00:00,6764,0
17-Mar-1979 00:42:28,6913,0
16-Apr-1979 11:17:31,6995,0
16-May-1979 21:00:00,6925,0
16-Jun-1979 06:42:28,6882,0
16-Jul-1979 17:17:31,6968,0
16-Aug-1979 03:00:00,6977,0
15-Sep-1979 12:42:28,7084,0
15-Oct-1979 23:17:31,6953,0
15-Nov-1979 09:00:00,6858,0
15-Dec-1979 18:42:28,6809,0
15-Jan-1980 06:17:34,6840,0
