Date,SeaLevel,Issues
15-Oct-1938 23:17:31,6958,0
15-Nov-1938 09:00:00,6916,0
15-Dec-1938 18:42:28,6852,0
15-Jan-1939 05:17:31,6840,0
14-Feb-1939 15:00:00,6858,0
17-Mar-1939 00:42:28,6834,0
16-Apr-1939 11:17:31,6876,0
16-May-1939 21:00:00,6928,0
16-Jun-1939 06:42:28,6995,0
16-Jul-1939 17:17:31,6977,0
16-Aug-1939 03:00:00,7016,0
15-Sep-1939 12:42:28,6998,0
15-Oct-1939 23:17:31,7004,0
15-Nov-1939 09:00:00,6852,0
15-Dec-1939 18:42:28,6852,0
15-Jan-1940 06:17:34,6715,0
14-Feb-1940 18:00:00,6748,0
16-Mar-1940 05:42:25,6773,0
15-Apr-1940 18:17:34,6840,0
16-May-1940 06:00:00,6922,0
15-Jun-1940 17:42:25,6937,0
16-Jul-1940 06:17:34,6952,0
15-Aug-1940 18:00:00,7038,0
15-Sep-1940 05:42:25,7004,0
15-Oct-1940 18:17:34,7001,0
15-Nov-1940 06:00:00,6904,0
15-Dec-1940 17:42:25,6907,0
15-Jan-1941 05:17:31,6806,0
14-Feb-1941 15:00:00,6776,0
17-Mar-1941 00:42:28,6754,0
16-Apr-1941 11:17:31,6876,0
16-May-1941 21:00:00,6965,0
16-Jun-1941 06:42:28,7013,0
16-Jul-1941 17:17:31,7080,0
16-Aug-1941 03:00:00,7035,0
15-Sep-1941 12:42:28,7093,0
15-Oct-1941 23:17:31,7071,0
15-Nov-1941 09:00:00,6965,0
15-Dec-1941 18:42:28,6891,0
15-Jan-1942 05:17:31,6834,0
14-Feb-1942 15:00:00,6815,0
17-Mar-1942 00:42:28,6837,0
16-Apr-1942 11:17:31,6873,0
16-May-1942 21:00:00,6931,0
16-Jun-1942 06:42:28,7007,0
16-Jul-1942 17:17:31,7001,0
16-Aug-1942 03:00:00,7019,0
15-Sep-1942 12:42:28,7056,0
15-Oct-1942 23:17:31,7035,0
15-Nov-1942 09:00:00,6934,0
15-Dec-1942 18:42:28,6867,0
15-Jan-1943 05:17:31,6800,0
14-Feb-1943 15:00:00,6769,0
17-Mar-1943 00:42:28,6867,0
16-Apr-1943 11:17:31,6955,0
16-May-1943 21:00:00,7013,0
16-Jun-1943 06:42:28,7062,0
16-Jul-1943 17:17:31,6977,0
16-Aug-1943 03:00:00,7074,0
15-Sep-1943 12:42:28,7117,0
15-Oct-1943 23:17:31,7068,0
15-Nov-1943 09:00:00,6882,0
15-Dec-1943 18:42:28,6858,0
15-Jan-1944 06:17:34,6769,0
14-Feb-1944 18:00:00,6824,0
16-Mar-1944 05:42:25,6904,0
15-Apr-1944 18:17:34,6931,0
16-May-1944 06:00:00,6937,0
15-Jun-1944 17:42:25,7035,0
16-Jul-1944 06:17:34,7041,0
15-Aug-1944 18:00:00,7029,0
15-Sep-1944 05:42:25,7053,0
15-Oct-1944 18:17:34,6934,0
15-Nov-1944 06:00:00,6974,0
15-Dec-1944 17:42:25,6748,0
15-Jan-1945 05:17:31,6779,0
14-Feb-1945 15:00:00,6760,0
17-Mar-1945 00:42:28,6870,0
16-Apr-1945 11:17:31,6940,0
16-May-1945 21:00:00,6958,0
16-Jun-1945 06:42:28,6983,0
16-Jul-1945 17:17:31,7001,0
16-Aug-1945 03:00:00,7077,0
15-Sep-1945 12:42:28,7062,0
15-Oct-1945 23:17:31,7044,0
