Date,SeaLevel,Issues
15-Oct-1921 23:17:31,7033,0
15-Nov-1921 09:00:00,6939,0
15-Dec-1921 18:42:28,6893,0
15-Jan-1922 05:17:31,6768,0
14-Feb-1922 15:00:00,6853,0
17-Mar-1922 00:42:28,6838,0
16-Apr-1922 11:17:31,6832,0
16-May-1922 21:00:00,6914,0
16-Jun-1922 06:42:28,6893,0
16-Jul-1922 17:17:31,6838,0
16-Aug-1922 03:00:00,6878,0
15-Sep-1922 12:42:28,7064,0
15-Oct-1922 23:17:31,6997,0
15-Nov-1922 09:00:00,6924,0
15-Dec-1922 18:42:28,6789,0
15-Jan-1923 05:17:31,6805,0
14-Feb-1923 15:00:00,6832,0
17-Mar-1923 00:42:28,6759,0
16-Apr-1923 11:17:31,6863,0
16-May-1923 21:00:00,6948,0
16-Jun-1923 06:42:28,6860,0
16-Jul-1923 17:17:31,6823,0
16-Aug-1923 03:00:00,6783,0
15-Sep-1923 12:42:28,6917,0
15-Oct-1923 23:17:31,7018,0
15-Nov-1923 09:00:00,6957,0
15-Dec-1923 18:42:28,6780,0
15-Jan-1924 06:17:34,6725,0
14-Feb-1924 18:00:00,6844,0
16-Mar-1924 05:42:25,6820,0
15-Apr-1924 18:17:34,6826,0
16-May-1924 06:00:00,6817,0
15-Jun-1924 17:42:25,6835,0
16-Jul-1924 06:17:34,6887,0
15-Aug-1924 18:00:00,6933,0
15-Sep-1924 05:42:25,7076,0
15-Oct-1924 18:17:34,7082,0
15-Nov-1924 06:00:00,6945,0
15-Dec-1924 17:42:25,6820,0
15-Jan-1925 05:17:31,6905,0
14-Feb-1925 15:00:00,6872,0
17-Mar-1925 00:42:28,6853,0
16-Apr-1925 11:17:31,6905,0
16-May-1925 21:00:00,6908,0
16-Jun-1925 06:42:28,6899,0
16-Jul-1925 17:17:31,6902,0
16-Aug-1925 03:00:00,7012,0
15-Sep-1925 12:42:28,6997,0
15-Oct-1925 23:17:31,6896,0
15-Nov-1925 09:00:00,6948,0
15-Dec-1925 18:42:28,6765,0
15-Jan-1926 05:17:31,6698,0
14-Feb-1926 15:00:00,6680,0
17-Mar-1926 00:42:28,6719,0
16-Apr-1926 11:17:31,6789,0
16-May-1926 21:00:00,6856,0
16-Jun-1926 06:42:28,6890,0
16-Jul-1926 17:17:31,6856,0
16-Aug-1926 03:00:00,6908,0
15-Sep-1926 12:42:28,7052,0
15-Oct-1926 23:17:31,6966,0
15-Nov-1926 09:00:00,6835,0
15-Dec-1926 18:42:28,6814,0
15-Jan-1927 05:17:31,6738,0
14-Feb-1927 15:00:00,6759,0
17-Mar-1927 00:42:28,6853,0
16-Apr-1927 11:17:31,6881,0
16-May-1927 21:00:00,6841,0
16-Jun-1927 06:42:28,6908,0
16-Jul-1927 17:17:31,6820,0
16-Aug-1927 03:00:00,6893,0
15-Sep-1927 12:42:28,6924,0
15-Oct-1927 23:17:31,6942,0
15-Nov-1927 09:00:00,6881,0
15-Dec-1927 18:42:28,6872,0
15-Jan-1928 06:17:34,6637,0
14-Feb-1928 18:00:00,6750,0
16-Mar-1928 05:42:25,6805,0
15-Apr-1928 18:17:34,6805,0
16-May-1928 06:00:00,6927,0
15-Jun-1928 17:42:25,6820,0
16-Jul-1928 06:17:34,6847,0
15-Aug-1928 18:00:00,6917,0
15-Sep-1928 05:42:25,6988,0
15-Oct-1928 18:17:34,7030,0
15-Nov-1928 06:00:00,6930,0
15-Dec-1928 17:42:25,6936,0
15-Jan-1929 05:17:31,6725,0
14-Feb-1929 15:00:00,6893,0
17-Mar-1929 00:42:28,6774,0
16-Apr-1929 11:17:31,6847,0
16-May-1929 21:00:00,6820,0
16-Jun-1929 06:42:28,6984,0
16-Jul-1929 17:17:31,6875,0
16-Aug-1929 03:00:00,6890,0
15-Sep-1929 12:42:28,7009,0
15-Oct-1929 23:17:31,6945,0
15-Nov-1929 09:00:00,6933,0
15-Dec-1929 18:42:28,6771,0
15-Jan-1930 05:17:31,6924,0
14-Feb-1930 15:00:00,6875,0
17-Mar-1930 00:42:28,6768,0
16-Apr-1930 11:17:31,6872,0
16-May-1930 21:00:00,6796,0
16-Jun-1930 06:42:28,6856,0
16-Jul-1930 17:17:31,6796,0
16-Aug-1930 03:00:00,6884,0
15-Sep-1930 12:42:28,6850,0
15-Oct-1930 23:17:31,7012,0
15-Nov-1930 09:00:00,6875,0
15-Dec-1930 18:42:28,6826,0
15-Jan-1931 05:17:31,6735,0
14-Feb-1931 15:00:00,6863,0
17-Mar-1931 00:42:28,6917,0
16-Apr-1931 11:17:31,6774,0
16-May-1931 21:00:00,6762,0
16-Jun-1931 06:42:28,6805,0
16-Jul-1931 17:17:31,6811,0
16-Aug-1931 03:00:00,6756,0
15-Sep-1931 12:42:28,6896,0
15-Oct-1931 23:17:31,6966,0
15-Nov-1931 09:00:00,6847,0
15-Dec-1931 18:42:28,6860,0
15-Jan-1932 06:17:34,6799,0
14-Feb-1932 18:00:00,6832,0
16-Mar-1932 05:42:25,6744,0
15-Apr-1932 18:17:34,6786,0
16-May-1932 06:00:00,6856,0
15-Jun-1932 17:42:25,6884,0
16-Jul-1932 06:17:34,6786,0
15-Aug-1932 18:00:00,6902,0
15-Sep-1932 05:42:25,7085,0
15-Oct-1932 18:17:34,6972,0
15-Nov-1932 06:00:00,7015,0
15-Dec-1932 17:42:25,6927,0
15-Jan-1933 05:17:31,6896,0
14-Feb-1933 15:00:00,6829,0
17-Mar-1933 00:42:28,6823,0
16-Apr-1933 11:17:31,6954,0
16-May-1933 21:00:00,6887,0
16-Jun-1933 06:42:28,6939,0
16-Jul-1933 17:17:31,6914,0
16-Aug-1933 03:00:00,7000,0
15-Sep-1933 12:42:28,7006,0
15-Oct-1933 23:17:31,7113,0
15-Nov-1933 09:00:00,6939,0
15-Dec-1933 18:42:28,6823,0
15-Jan-1934 05:17:31,6774,0
14-Feb-1934 15:00:00,6796,0
17-Mar-1934 00:42:28,6777,0
16-Apr-1934 11:17:31,6841,0
16-May-1934 21:00:00,6899,0
16-Jun-1934 06:42:28,6814,0
16-Jul-1934 17:17:31,6814,0
16-Aug-1934 03:00:00,6805,0
15-Sep-1934 12:42:28,6966,0
15-Oct-1934 23:17:31,7097,0
15-Nov-1934 09:00:00,6914,0
15-Dec-1934 18:42:28,6860,0
15-Jan-1935 05:17:31,6930,0
14-Feb-1935 15:00:00,6823,0
17-Mar-1935 00:42:28,6826,0
16-Apr-1935 11:17:31,6920,0
16-May-1935 21:00:00,6905,0
16-Jun-1935 06:42:28,6896,0
16-Jul-1935 17:17:31,6838,0
16-Aug-1935 03:00:00,6911,0
15-Sep-1935 12:42:28,7009,0
15-Oct-1935 23:17:31,7039,0
15-Nov-1935 09:00:00,7085,0
15-Dec-1935 18:42:28,6847,0
15-Jan-1936 06:17:34,6768,0
14-Feb-1936 18:00:00,6847,0
16-Mar-1936 05:42:25,6783,0
