Date,SeaLevel,Issues
15-Jan-1985 05:17:31,6911,0
14-Feb-1985 15:00:00,6884,0
17-Mar-1985 00:42:28,NaN,1
16-Apr-1985 11:17:31,6908,0
16-May-1985 21:00:00,6994,0
16-Jun-1985 06:42:28,6957,0
16-Jul-1985 17:17:31,6966,0
16-Aug-1985 03:00:00,7006,0
15-Sep-1985 12:42:28,7045,0
15-Oct-1985 23:17:31,7070,0
15-Nov-1985 09:00:00,7155,0
15-Dec-1985 18:42:28,6933,0
15-Jan-1986 05:17:31,6805,0
14-Feb-1986 15:00:00,7006,0
17-Mar-1986 00:42:28,6838,0
16-Apr-1986 11:17:31,7082,0
16-May-1986 21:00:00,7012,0
16-Jun-1986 06:42:28,6921,0
16-Jul-1986 17:17:31,6987,0
16-Aug-1986 03:00:00,7027,0
15-Sep-1986 12:42:28,7000,0
15-Oct-1986 23:17:31,7067,0
15-Nov-1986 09:00:00,7012,0
15-Dec-1986 18:42:28,6978,0
15-Jan-1987 05:17:31,7003,0
14-Feb-1987 15:00:00,6957,0
17-Mar-1987 00:42:28,7103,0
16-Apr-1987 11:17:31,7113,0
16-May-1987 21:00:00,6994,0
16-Jun-1987 06:42:28,6969,0
16-Jul-1987 17:17:31,6988,0
16-Aug-1987 03:00:00,7042,0
15-Sep-1987 12:42:28,7055,0
15-Oct-1987 23:17:31,7003,0
15-Nov-1987 09:00:00,6960,0
15-Dec-1987 18:42:28,6972,0
15-Jan-1988 06:17:34,6872,0
14-Feb-1988 18:00:00,6905,0
16-Mar-1988 05:42:25,6853,0
15-Apr-1988 18:17:34,7088,0
16-May-1988 06:00:00,7024,0
15-Jun-1988 17:42:25,7006,0
16-Jul-1988 06:17:34,6890,0
15-Aug-1988 18:00:00,6927,0
15-Sep-1988 05:42:25,6994,0
15-Oct-1988 18:17:34,6988,0
15-Nov-1988 06:00:00,6896,0
15-Dec-1988 17:42:25,6841,0
15-Jan-1989 05:17:31,6876,0
14-Feb-1989 15:00:00,6906,0
17-Mar-1989 00:42:28,6986,0
16-Apr-1989 11:17:31,6896,0
16-May-1989 21:00:00,6946,0
16-Jun-1989 06:42:28,6956,0
16-Jul-1989 17:17:31,6986,0
16-Aug-1989 03:00:00,7066,0
15-Sep-1989 12:42:28,7116,0
15-Oct-1989 23:17:31,7036,0
15-Nov-1989 09:00:00,6936,0
15-Dec-1989 18:42:28,6926,0
15-Jan-1990 05:17:31,6816,0
14-Feb-1990 15:00:00,6856,0
17-Mar-1990 00:42:28,6876,0
16-Apr-1990 11:17:31,6886,0
16-May-1990 21:00:00,6986,0
16-Jun-1990 06:42:28,6966,0
16-Jul-1990 17:17:31,6986,0
16-Aug-1990 03:00:00,7076,0
15-Sep-1990 12:42:28,7066,0
15-Oct-1990 23:17:31,7026,0
15-Nov-1990 09:00:00,6956,0
15-Dec-1990 18:42:28,6896,0
15-Jan-1991 05:17:31,6997,0
14-Feb-1991 15:00:00,6896,0
17-Mar-1991 00:42:28,7045,0
16-Apr-1991 11:17:31,6988,0
16-May-1991 21:00:00,6978,0
16-Jun-1991 06:42:28,7055,0
16-Jul-1991 17:17:31,7049,0
16-Aug-1991 03:00:00,7006,0
15-Sep-1991 12:42:28,7039,0
15-Oct-1991 23:17:31,7088,0
15-Nov-1991 09:00:00,7061,0
15-Dec-1991 18:42:28,6896,0
15-Jan-1992 06:17:34,6960,0
14-Feb-1992 18:00:00,7012,0
16-Mar-1992 05:42:25,6945,0
15-Apr-1992 18:17:34,6997,0
16-May-1992 06:00:00,7088,0
15-Jun-1992 17:42:25,7055,0
16-Jul-1992 06:17:34,7021,0
15-Aug-1992 18:00:00,7030,0
15-Sep-1992 05:42:25,7097,0
15-Oct-1992 18:17:34,7061,0
15-Nov-1992 06:00:00,7039,0
15-Dec-1992 17:42:25,6988,0
15-Jan-1993 05:17:31,7015,0
14-Feb-1993 15:00:00,7039,0
17-Mar-1993 00:42:28,6988,0
16-Apr-1993 11:17:31,7125,0
16-May-1993 21:00:00,7049,0
16-Jun-1993 06:42:28,7021,0
16-Jul-1993 17:17:31,7045,0
16-Aug-1993 03:00:00,7055,0
15-Sep-1993 12:42:28,7070,0
15-Oct-1993 23:17:31,7088,0
15-Nov-1993 09:00:00,6988,0
15-Dec-1993 18:42:28,7070,0
15-Jan-1994 05:17:31,6860,0
14-Feb-1994 15:00:00,6954,0
17-Mar-1994 00:42:28,7003,0
16-Apr-1994 11:17:31,6896,0
16-May-1994 21:00:00,7073,0
16-Jun-1994 06:42:28,6954,0
16-Jul-1994 17:17:31,6939,0
16-Aug-1994 03:00:00,6985,0
15-Sep-1994 12:42:28,7088,0
15-Oct-1994 23:17:31,7131,0
15-Nov-1994 09:00:00,6985,0
15-Dec-1994 18:42:28,7082,0
15-Jan-1995 05:17:31,6927,0
14-Feb-1995 15:00:00,6835,0
17-Mar-1995 00:42:28,7006,0
16-Apr-1995 11:17:31,6945,0
16-May-1995 21:00:00,7049,0
16-Jun-1995 06:42:28,7036,0
16-Jul-1995 17:17:31,7006,0
16-Aug-1995 03:00:00,7183,0
15-Sep-1995 12:42:28,7158,0
15-Oct-1995 23:17:31,7055,0
15-Nov-1995 09:00:00,7006,0
15-Dec-1995 18:42:28,6963,0
15-Jan-1996 06:17:34,7051,0
14-Feb-1996 18:00:00,6968,0
16-Mar-1996 05:42:25,6965,0
15-Apr-1996 18:17:34,6997,0
16-May-1996 06:00:00,7026,0
15-Jun-1996 17:42:25,7045,0
16-Jul-1996 06:17:34,7026,0
15-Aug-1996 18:00:00,7102,0
15-Sep-1996 05:42:25,7240,0
15-Oct-1996 18:17:34,7196,0
15-Nov-1996 06:00:00,7116,0
15-Dec-1996 17:42:25,7117,0
15-Jan-1997 05:17:31,6986,0
14-Feb-1997 15:00:00,6999,0
17-Mar-1997 00:42:28,7037,0
16-Apr-1997 11:17:31,7138,0
16-May-1997 21:00:00,6987,0
16-Jun-1997 06:42:28,7157,0
16-Jul-1997 17:17:31,7058,0
16-Aug-1997 03:00:00,7090,0
15-Sep-1997 12:42:28,7118,0
15-Oct-1997 23:17:31,7159,0
15-Nov-1997 09:00:00,7113,0
15-Dec-1997 18:42:28,7043,0
15-Jan-1998 05:17:31,7114,0
14-Feb-1998 15:00:00,7322,0
17-Mar-1998 00:42:28,7048,0
16-Apr-1998 11:17:31,7121,0
16-May-1998 21:00:00,7200,0
16-Jun-1998 06:42:28,7103,0
16-Jul-1998 17:17:31,7089,0
16-Aug-1998 03:00:00,7162,0
15-Sep-1998 12:42:28,7141,0
15-Oct-1998 23:17:31,7089,0
15-Nov-1998 09:00:00,7019,0
15-Dec-1998 18:42:28,7019,0
15-Jan-1999 05:17:31,6929,0
14-Feb-1999 15:00:00,7113,0
17-Mar-1999 00:42:28,7006,0
16-Apr-1999 11:17:31,7075,0
16-May-1999 21:00:00,7143,0
16-Jun-1999 06:42:28,7072,0
16-Jul-1999 17:17:31,7052,0
16-Aug-1999 03:00:00,7144,0
15-Sep-1999 12:42:28,7214,0
15-Oct-1999 23:17:31,7084,0
15-Nov-1999 09:00:00,7002,0
15-Dec-1999 18:42:28,6968,0
15-Jan-2000 06:17:34,6905,0
14-Feb-2000 18:00:00,6849,0
16-Mar-2000 05:42:25,7032,0
15-Apr-2000 18:17:34,7048,0
16-May-2000 06:00:00,7086,0
15-Jun-2000 17:42:25,7019,0
16-Jul-2000 06:17:34,7114,0
15-Aug-2000 18:00:00,7102,0
15-Sep-2000 05:42:25,7170,0
15-Oct-2000 18:17:34,7125,0
15-Nov-2000 06:00:00,7087,0
15-Dec-2000 17:42:25,6915,0
15-Jan-2001 05:17:31,6964,0
14-Feb-2001 15:00:00,6911,0
17-Mar-2001 00:42:28,7054,0
16-Apr-2001 11:17:31,7020,0
16-May-2001 21:00:00,7085,0
16-Jun-2001 06:42:28,7044,0
16-Jul-2001 17:17:31,7075,0
16-Aug-2001 03:00:00,7048,0
15-Sep-2001 12:42:28,7189,0
15-Oct-2001 23:17:31,7072,0
15-Nov-2001 09:00:00,7021,0
15-Dec-2001 18:42:28,7030,0
15-Jan-2002 05:17:31,6865,0
14-Feb-2002 15:00:00,6997,0
17-Mar-2002 00:42:28,6884,0
16-Apr-2002 11:17:31,6968,0
16-May-2002 21:00:00,6968,0
16-Jun-2002 06:42:28,7040,0
16-Jul-2002 17:17:31,7049,0
16-Aug-2002 03:00:00,7091,0
15-Sep-2002 12:42:28,7192,0
15-Oct-2002 23:17:31,7214,0
