Date,SeaLevel,Issues
16-Apr-1965 11:17:31,6843,0
16-May-1965 21:00:00,6865,0
16-Jun-1965 06:42:28,6935,0
16-Jul-1965 17:17:31,6971,0
16-Aug-1965 03:00:00,7039,0
15-Sep-1965 12:42:28,6984,0
15-Oct-1965 23:17:31,6987,0
15-Nov-1965 09:00:00,6941,0
15-Dec-1965 18:42:28,6834,0
15-Jan-1966 05:17:31,6871,0
14-Feb-1966 15:00:00,6819,0
17-Mar-1966 00:42:28,6837,0
16-Apr-1966 11:17:31,6917,0
16-May-1966 21:00:00,7029,0
16-Jun-1966 06:42:28,6965,0
16-Jul-1966 17:17:31,7014,0
16-Aug-1966 03:00:00,7051,0
15-Sep-1966 12:42:28,7103,0
15-Oct-1966 23:17:31,6999,0
15-Nov-1966 09:00:00,6898,0
15-Dec-1966 18:42:28,6871,0
15-Jan-1967 05:17:31,6837,0
14-Feb-1967 15:00:00,6825,0
17-Mar-1967 00:42:28,6822,0
16-Apr-1967 11:17:31,6907,0
16-May-1967 21:00:00,6962,0
16-Jun-1967 06:42:28,7039,0
16-Jul-1967 17:17:31,7008,0
16-Aug-1967 03:00:00,7051,0
15-Sep-1967 12:42:28,7011,0
15-Oct-1967 23:17:31,6956,0
15-Nov-1967 09:00:00,6926,0
15-Dec-1967 18:42:28,6965,0
15-Jan-1968 06:17:34,6847,1
14-Feb-1968 18:00:00,6847,0
16-Mar-1968 05:42:25,6807,1
15-Apr-1968 18:17:34,6898,0
16-May-1968 06:00:00,6889,0
15-Jun-1968 17:42:25,7002,0
16-Jul-1968 06:17:34,7048,0
15-Aug-1968 18:00:00,7069,1
15-Sep-1968 05:42:25,7042,0
15-Oct-1968 18:17:34,7005,0
15-Nov-1968 06:00:00,6914,0
15-Dec-1968 17:42:25,6850,1
15-Jan-1969 05:17:31,6831,0
14-Feb-1969 15:00:00,6856,0
17-Mar-1969 00:42:28,6920,0
16-Apr-1969 11:17:31,6892,1
16-May-1969 21:00:00,6868,0
16-Jun-1969 06:42:28,7063,0
16-Jul-1969 17:17:31,7002,1
16-Aug-1969 03:00:00,7075,1
15-Sep-1969 12:42:28,6984,0
15-Oct-1969 23:17:31,7063,0
15-Nov-1969 09:00:00,6990,0
15-Dec-1969 18:42:28,6941,0
15-Jan-1970 05:17:31,6883,0
14-Feb-1970 15:00:00,6843,0
17-Mar-1970 00:42:28,7023,0
16-Apr-1970 11:17:31,7011,0
16-May-1970 21:00:00,6956,0
16-Jun-1970 06:42:28,7045,0
16-Jul-1970 17:17:31,7032,0
16-Aug-1970 03:00:00,7096,0
15-Sep-1970 12:42:28,7014,0
15-Oct-1970 23:17:31,7035,0
15-Nov-1970 09:00:00,6944,0
15-Dec-1970 18:42:28,6938,0
15-Jan-1971 05:17:31,6883,0
14-Feb-1971 15:00:00,6874,0
17-Mar-1971 00:42:28,6843,0
16-Apr-1971 11:17:31,6883,0
16-May-1971 21:00:00,6907,0
16-Jun-1971 06:42:28,6914,0
16-Jul-1971 17:17:31,6962,0
16-Aug-1971 03:00:00,7002,0
15-Sep-1971 12:42:28,7051,0
15-Oct-1971 23:17:31,7093,0
15-Nov-1971 09:00:00,7057,0
15-Dec-1971 18:42:28,6959,0
15-Jan-1972 06:17:34,6920,0
14-Feb-1972 18:00:00,6840,0
16-Mar-1972 05:42:25,6898,0
15-Apr-1972 18:17:34,6898,0
16-May-1972 06:00:00,7002,0
15-Jun-1972 17:42:25,7054,0
16-Jul-1972 06:17:34,6984,0
15-Aug-1972 18:00:00,7005,0
15-Sep-1972 05:42:25,7045,0
15-Oct-1972 18:17:34,7035,0
15-Nov-1972 06:00:00,7011,1
15-Dec-1972 17:42:25,6907,1
15-Jan-1973 05:17:31,6914,0
14-Feb-1973 15:00:00,6877,0
17-Mar-1973 00:42:28,6996,0
16-Apr-1973 11:17:31,6968,0
16-May-1973 21:00:00,6971,0
16-Jun-1973 06:42:28,6968,0
16-Jul-1973 17:17:31,7002,0
16-Aug-1973 03:00:00,7051,0
15-Sep-1973 12:42:28,7093,0
15-Oct-1973 23:17:31,7051,0
15-Nov-1973 09:00:00,7042,0
15-Dec-1973 18:42:28,6911,0
15-Jan-1974 05:17:31,6871,1
14-Feb-1974 15:00:00,6862,0
17-Mar-1974 00:42:28,6898,0
16-Apr-1974 11:17:31,6898,0
16-May-1974 21:00:00,6993,0
16-Jun-1974 06:42:28,7081,0
16-Jul-1974 17:17:31,7084,0
16-Aug-1974 03:00:00,7093,0
15-Sep-1974 12:42:28,7124,0
15-Oct-1974 23:17:31,6984,0
15-Nov-1974 09:00:00,6938,0
15-Dec-1974 18:42:28,6914,1
15-Jan-1975 05:17:31,6877,1
14-Feb-1975 15:00:00,6965,1
17-Mar-1975 00:42:28,6935,0
16-Apr-1975 11:17:31,6947,0
16-May-1975 21:00:00,7020,0
16-Jun-1975 06:42:28,7017,1
