Date,SeaLevel,Issues
15-Jan-1947 05:17:31,6671,0
14-Feb-1947 15:00:00,6595,0
17-Mar-1947 00:42:28,6677,0
16-Apr-1947 11:17:31,6723,0
16-May-1947 21:00:00,6784,0
16-Jun-1947 06:42:28,6787,0
16-Jul-1947 17:17:31,6704,0
16-Aug-1947 03:00:00,6814,0
15-Sep-1947 12:42:28,6839,0
15-Oct-1947 23:17:31,6823,0
15-Nov-1947 09:00:00,6839,0
15-Dec-1947 18:42:28,6750,0
15-Jan-1948 06:17:34,6625,0
14-Feb-1948 18:00:00,6631,0
16-Mar-1948 05:42:25,6851,0
15-Apr-1948 18:17:34,6829,0
16-May-1948 06:00:00,6799,0
15-Jun-1948 17:42:25,6753,0
16-Jul-1948 06:17:34,6796,0
15-Aug-1948 18:00:00,6823,0
15-Sep-1948 05:42:25,6948,0
15-Oct-1948 18:17:34,6878,0
15-Nov-1948 06:00:00,6832,0
15-Dec-1948 17:42:25,6692,0
15-Jan-1949 05:17:31,6671,0
14-Feb-1949 15:00:00,6720,0
17-Mar-1949 00:42:28,6732,0
16-Apr-1949 11:17:31,6732,0
16-May-1949 21:00:00,6778,0
16-Jun-1949 06:42:28,6781,0
16-Jul-1949 17:17:31,6784,0
16-Aug-1949 03:00:00,6738,0
15-Sep-1949 12:42:28,6909,0
15-Oct-1949 23:17:31,6967,0
15-Nov-1949 09:00:00,6701,0
15-Dec-1949 18:42:28,6720,0
15-Jan-1950 05:17:31,6808,0
14-Feb-1950 15:00:00,6756,0
17-Mar-1950 00:42:28,6738,0
16-Apr-1950 11:17:31,6772,0
16-May-1950 21:00:00,6741,0
16-Jun-1950 06:42:28,6735,0
16-Jul-1950 17:17:31,6753,0
16-Aug-1950 03:00:00,6851,0
15-Sep-1950 12:42:28,6881,0
15-Oct-1950 23:17:31,6851,0
15-Nov-1950 09:00:00,6677,0
15-Dec-1950 18:42:28,6647,0
15-Jan-1951 05:17:31,6628,0
14-Feb-1951 15:00:00,6619,0
17-Mar-1951 00:42:28,6723,0
16-Apr-1951 11:17:31,6708,0
16-May-1951 21:00:00,6695,0
16-Jun-1951 06:42:28,6708,0
16-Jul-1951 17:17:31,6720,0
16-Aug-1951 03:00:00,6741,0
15-Sep-1951 12:42:28,6836,0
15-Oct-1951 23:17:31,6808,0
15-Nov-1951 09:00:00,6689,0
15-Dec-1951 18:42:28,6738,0
15-Jan-1952 06:17:34,6714,0
14-Feb-1952 18:00:00,6714,0
16-Mar-1952 05:42:25,6738,0
15-Apr-1952 18:17:34,6680,0
16-May-1952 06:00:00,6762,0
15-Jun-1952 17:42:25,6720,0
