Date,SeaLevel,Issues
15-Nov-1998 09:00:00,7015,0
15-Dec-1998 18:42:28,6979,0
15-Jan-1999 05:17:31,6964,0
14-Feb-1999 15:00:00,7086,0
17-Mar-1999 00:42:28,7000,0
16-Apr-1999 11:17:31,7081,0
16-May-1999 21:00:00,7101,0
16-Jun-1999 06:42:28,7069,0
16-Jul-1999 17:17:31,7102,0
16-Aug-1999 03:00:00,7153,0
15-Sep-1999 12:42:28,7133,0
15-Oct-1999 23:17:31,7057,0
15-Nov-1999 09:00:00,6983,0
15-Dec-1999 18:42:28,6983,0
15-Jan-2000 06:17:34,6895,0
14-Feb-2000 18:00:00,6869,0
16-Mar-2000 05:42:25,7044,0
15-Apr-2000 18:17:34,7063,0
16-May-2000 06:00:00,7113,0
15-Jun-2000 17:42:25,7092,0
16-Jul-2000 06:17:34,7147,0
15-Aug-2000 18:00:00,7138,0
15-Sep-2000 05:42:25,7119,0
15-Oct-2000 18:17:34,7071,0
15-Nov-2000 06:00:00,7086,0
15-Dec-2000 17:42:25,6881,0
15-Jan-2001 05:17:31,6976,0
14-Feb-2001 15:00:00,6860,0
17-Mar-2001 00:42:28,7057,0
16-Apr-2001 11:17:31,7042,0
16-May-2001 21:00:00,7099,0
16-Jun-2001 06:42:28,7077,0
16-Jul-2001 17:17:31,7102,0
16-Aug-2001 03:00:00,7109,0
15-Sep-2001 12:42:28,7163,0
15-Oct-2001 23:17:31,7067,0
15-Nov-2001 09:00:00,7027,0
15-Dec-2001 18:42:28,7019,0
15-Jan-2002 05:17:31,6917,0
14-Feb-2002 15:00:00,7021,0
17-Mar-2002 00:42:28,6945,0
16-Apr-2002 11:17:31,6987,0
16-May-2002 21:00:00,7008,0
16-Jun-2002 06:42:28,7085,0
16-Jul-2002 17:17:31,7083,0
16-Aug-2002 03:00:00,7112,0
15-Sep-2002 12:42:28,7139,0
15-Oct-2002 23:17:31,7174,0
15-Nov-2002 09:00:00,7017,0
15-Dec-2002 18:42:28,7035,0
15-Jan-2003 05:17:31,6944,0
14-Feb-2003 15:00:00,6853,0
17-Mar-2003 00:42:28,7012,0
16-Apr-2003 11:17:31,7103,0
16-May-2003 21:00:00,7108,0
16-Jun-2003 06:42:28,7145,0
16-Jul-2003 17:17:31,7103,0
16-Aug-2003 03:00:00,7112,0
15-Sep-2003 12:42:28,7207,0
15-Oct-2003 23:17:31,7083,0
15-Nov-2003 09:00:00,7031,0
15-Dec-2003 18:42:28,7011,0
15-Jan-2004 06:17:34,6870,0
14-Feb-2004 18:00:00,6944,0
16-Mar-2004 05:42:25,7017,0
15-Apr-2004 18:17:34,7024,0
16-May-2004 06:00:00,7046,0
15-Jun-2004 17:42:25,7089,0
16-Jul-2004 06:17:34,7120,0
15-Aug-2004 18:00:00,7105,0
15-Sep-2004 05:42:25,7163,0
15-Oct-2004 18:17:34,7218,0
15-Nov-2004 06:00:00,7088,0
15-Dec-2004 17:42:25,7053,0
15-Jan-2005 05:17:31,7097,0
14-Feb-2005 15:00:00,7063,0
17-Mar-2005 00:42:28,7068,0
16-Apr-2005 11:17:31,7167,0
16-May-2005 21:00:00,7201,0
16-Jun-2005 06:42:28,7150,0
16-Jul-2005 17:17:31,7168,0
16-Aug-2005 03:00:00,7156,0
15-Sep-2005 12:42:28,7127,0
15-Oct-2005 23:17:31,7220,0
15-Nov-2005 09:00:00,7057,0
15-Dec-2005 18:42:28,6990,0
15-Jan-2006 05:17:31,7062,0
14-Feb-2006 15:00:00,6977,0
17-Mar-2006 00:42:28,7004,0
16-Apr-2006 11:17:31,7088,0
16-May-2006 21:00:00,7176,0
16-Jun-2006 06:42:28,7131,0
16-Jul-2006 17:17:31,7105,0
16-Aug-2006 03:00:00,7160,0
15-Sep-2006 12:42:28,7204,0
15-Oct-2006 23:17:31,7133,0
15-Nov-2006 09:00:00,7181,0
15-Dec-2006 18:42:28,6961,0
15-Jan-2007 05:17:31,6965,0
14-Feb-2007 15:00:00,6801,0
17-Mar-2007 00:42:28,6907,0
16-Apr-2007 11:17:31,7127,0
16-May-2007 21:00:00,7029,0
16-Jun-2007 06:42:28,7148,0
16-Jul-2007 17:17:31,7123,0
16-Aug-2007 03:00:00,7148,0
15-Sep-2007 12:42:28,7097,0
15-Oct-2007 23:17:31,7156,0
15-Nov-2007 09:00:00,7062,0
15-Dec-2007 18:42:28,7002,0
15-Jan-2008 06:17:34,6991,0
14-Feb-2008 18:00:00,6978,0
16-Mar-2008 05:42:25,6999,0
15-Apr-2008 18:17:34,7100,0
16-May-2008 06:00:00,7206,0
15-Jun-2008 17:42:25,7133,0
16-Jul-2008 06:17:34,7121,0
15-Aug-2008 18:00:00,7151,0
15-Sep-2008 05:42:25,7178,0
15-Oct-2008 18:17:34,7153,0
15-Nov-2008 06:00:00,7095,0
15-Dec-2008 17:42:25,6968,0
15-Jan-2009 05:17:31,6955,0
14-Feb-2009 15:00:00,6989,0
17-Mar-2009 00:42:28,7061,0
16-Apr-2009 11:17:31,7092,0
16-May-2009 21:00:00,7086,0
16-Jun-2009 06:42:28,7250,0
16-Jul-2009 17:17:31,7212,0
16-Aug-2009 03:00:00,7157,0
15-Sep-2009 12:42:28,7220,0
15-Oct-2009 23:17:31,7261,0
15-Nov-2009 09:00:00,7234,0
15-Dec-2009 18:42:28,7047,0
15-Jan-2010 05:17:31,7081,0
14-Feb-2010 15:00:00,7157,0
17-Mar-2010 00:42:28,7297,0
16-Apr-2010 11:17:31,7158,0
16-May-2010 21:00:00,7130,0
16-Jun-2010 06:42:28,7188,0
16-Jul-2010 17:17:31,7159,0
16-Aug-2010 03:00:00,7217,0
15-Sep-2010 12:42:28,7195,0
15-Oct-2010 23:17:31,7165,0
15-Nov-2010 09:00:00,7165,0
15-Dec-2010 18:42:28,7106,0
15-Jan-2011 05:17:31,7055,0
14-Feb-2011 15:00:00,7010,0
17-Mar-2011 00:42:28,7071,0
16-Apr-2011 11:17:31,7122,0
16-May-2011 21:00:00,7236,0
16-Jun-2011 06:42:28,7244,0
16-Jul-2011 17:17:31,7206,0
16-Aug-2011 03:00:00,7234,0
15-Sep-2011 12:42:28,7253,0
15-Oct-2011 23:17:31,7227,0
15-Nov-2011 09:00:00,7105,0
15-Dec-2011 18:42:28,7054,0
15-Jan-2012 06:17:34,7003,0
14-Feb-2012 18:00:00,7005,0
16-Mar-2012 05:42:25,7065,0
15-Apr-2012 18:17:34,7129,0
16-May-2012 06:00:00,7139,0
15-Jun-2012 17:42:25,7245,0
16-Jul-2012 06:17:34,7189,0
15-Aug-2012 18:00:00,7191,0
15-Sep-2012 05:42:25,7166,0
15-Oct-2012 18:17:34,7250,0
15-Nov-2012 06:00:00,7151,0
15-Dec-2012 17:42:25,7175,0
15-Jan-2013 05:17:31,6970,0
14-Feb-2013 15:00:00,7019,0
17-Mar-2013 00:42:28,7183,0
16-Apr-2013 11:17:31,7080,0
16-May-2013 21:00:00,7083,0
16-Jun-2013 06:42:28,7181,0
16-Jul-2013 17:17:31,7188,0
16-Aug-2013 03:00:00,7178,0
15-Sep-2013 12:42:28,7180,0
15-Oct-2013 23:17:31,7204,0
15-Nov-2013 09:00:00,7006,0
15-Dec-2013 18:42:28,7028,0
15-Jan-2014 05:17:31,6979,0
14-Feb-2014 15:00:00,6962,0
17-Mar-2014 00:42:28,7031,0
16-Apr-2014 11:17:31,7116,0
16-May-2014 21:00:00,7155,0
16-Jun-2014 06:42:28,7181,0
16-Jul-2014 17:17:31,7141,0
16-Aug-2014 03:00:00,7197,0
15-Sep-2014 12:42:28,7198,0
15-Oct-2014 23:17:31,7227,0
15-Nov-2014 09:00:00,7077,0
15-Dec-2014 18:42:28,7133,0
15-Jan-2015 05:17:31,6946,0
14-Feb-2015 15:00:00,7010,0
17-Mar-2015 00:42:28,6936,0
16-Apr-2015 11:17:31,7053,0
16-May-2015 21:00:00,7013,0
16-Jun-2015 06:42:28,7157,0
16-Jul-2015 17:17:31,7199,0
16-Aug-2015 03:00:00,7182,0
15-Sep-2015 12:42:28,7211,0
15-Oct-2015 23:17:31,7214,0
15-Nov-2015 09:00:00,7097,0
15-Dec-2015 18:42:28,7105,0
15-Jan-2016 06:17:34,NaN,1
14-Feb-2016 18:00:00,7049,0
16-Mar-2016 05:42:25,7095,0
15-Apr-2016 18:17:34,7134,0
16-May-2016 06:00:00,7127,0
15-Jun-2016 17:42:25,7151,0
16-Jul-2016 06:17:34,7153,0
15-Aug-2016 18:00:00,7144,0
15-Sep-2016 05:42:25,7239,0
15-Oct-2016 18:17:34,7181,0
15-Nov-2016 06:00:00,7084,0
15-Dec-2016 17:42:25,7003,0
15-Jan-2017 05:17:31,7078,0
14-Feb-2017 15:00:00,7039,0
17-Mar-2017 00:42:28,6952,0
16-Apr-2017 11:17:31,7182,0
16-May-2017 21:00:00,7228,0
16-Jun-2017 06:42:28,7189,0
16-Jul-2017 17:17:31,7221,0
16-Aug-2017 03:00:00,7199,0
15-Sep-2017 12:42:28,7245,0
15-Oct-2017 23:17:31,7176,0
15-Nov-2017 09:00:00,7145,0
15-Dec-2017 18:42:28,6988,0
15-Jan-2018 05:17:31,6932,0
14-Feb-2018 15:00:00,6990,0
17-Mar-2018 00:42:28,7241,0
16-Apr-2018 11:17:31,7118,0
16-May-2018 21:00:00,7144,0
16-Jun-2018 06:42:28,7224,0
16-Jul-2018 17:17:31,7174,0
16-Aug-2018 03:00:00,7222,0
15-Sep-2018 12:42:28,7298,0
15-Oct-2018 23:17:31,7190,0
15-Nov-2018 09:00:00,7141,0
15-Dec-2018 18:42:28,7148,0
15-Jan-2019 05:17:31,7089,0
14-Feb-2019 15:00:00,7013,0
17-Mar-2019 00:42:28,7089,0
16-Apr-2019 11:17:31,7123,0
16-May-2019 21:00:00,7252,0
16-Jun-2019 06:42:28,7236,0
16-Jul-2019 17:17:31,7235,0
16-Aug-2019 03:00:00,7258,0
15-Sep-2019 12:42:28,7253,0
15-Oct-2019 23:17:31,7319,0
15-Nov-2019 09:00:00,7179,0
15-Dec-2019 18:42:28,7147,0
15-Jan-2020 06:17:34,7107,0
14-Feb-2020 18:00:00,7076,0
16-Mar-2020 05:42:25,7187,0
15-Apr-2020 18:17:34,7219,0
16-May-2020 06:00:00,7122,0
15-Jun-2020 17:42:25,7208,0
16-Jul-2020 06:17:34,7244,0
15-Aug-2020 18:00:00,7226,0
15-Sep-2020 05:42:25,7242,0
15-Oct-2020 18:17:34,7219,0
15-Nov-2020 06:00:00,7086,0
15-Dec-2020 17:42:25,7117,0
15-Jan-2021 05:17:31,7164,0
14-Feb-2021 15:00:00,7161,0
17-Mar-2021 00:42:28,7012,0
16-Apr-2021 11:17:31,7155,0
16-May-2021 21:00:00,7123,0
16-Jun-2021 06:42:28,7149,0
16-Jul-2021 17:17:31,7240,0
16-Aug-2021 03:00:00,7239,0
15-Sep-2021 12:42:28,7255,0
15-Oct-2021 23:17:31,7360,0
15-Nov-2021 09:00:00,7167,0
15-Dec-2021 18:42:28,7101,0
15-Jan-2022 05:17:31,7118,0
14-Feb-2022 15:00:00,6974,0
17-Mar-2022 00:42:28,7048,0
16-Apr-2022 11:17:31,7122,0
16-May-2022 21:00:00,7248,0
