Date,SeaLevel,Issues
15-Sep-1951 12:42:28,6932,0
15-Oct-1951 23:17:31,7042,0
15-Nov-1951 09:00:00,6865,0
15-Dec-1951 18:42:28,6761,0
15-Jan-1952 06:17:34,6801,0
14-Feb-1952 18:00:00,6844,0
16-Mar-1952 05:42:25,6871,0
15-Apr-1952 18:17:34,6841,0
16-May-1952 06:00:00,6914,0
15-Jun-1952 17:42:25,6889,0
16-Jul-1952 06:17:34,6838,0
15-Aug-1952 18:00:00,6859,0
15-Sep-1952 05:42:25,6966,0
15-Oct-1952 18:17:34,6889,0
15-Nov-1952 06:00:00,6917,0
15-Dec-1952 17:42:25,6935,0
15-Jan-1953 05:17:31,6905,0
14-Feb-1953 15:00:00,6761,0
17-Mar-1953 00:42:28,6856,1
16-Apr-1953 11:17:31,6844,0
16-May-1953 21:00:00,6920,0
16-Jun-1953 06:42:28,6877,0
16-Jul-1953 17:17:31,6905,0
16-Aug-1953 03:00:00,6956,0
15-Sep-1953 12:42:28,6944,0
15-Oct-1953 23:17:31,6987,0
15-Nov-1953 09:00:00,6929,0
15-Dec-1953 18:42:28,6722,0
15-Jan-1954 05:17:31,6810,0
14-Feb-1954 15:00:00,6804,0
17-Mar-1954 00:42:28,6758,0
16-Apr-1954 11:17:31,6792,0
16-May-1954 21:00:00,6941,0
16-Jun-1954 06:42:28,6905,0
16-Jul-1954 17:17:31,6883,0
16-Aug-1954 03:00:00,6871,0
15-Sep-1954 12:42:28,6920,0
15-Oct-1954 23:17:31,6935,1
15-Nov-1954 09:00:00,6853,1
15-Dec-1954 18:42:28,6752,0
15-Jan-1955 05:17:31,6856,0
14-Feb-1955 15:00:00,6758,0
17-Mar-1955 00:42:28,6746,0
16-Apr-1955 11:17:31,6889,0
16-May-1955 21:00:00,6853,0
16-Jun-1955 06:42:28,6920,0
16-Jul-1955 17:17:31,6847,0
16-Aug-1955 03:00:00,6996,0
15-Sep-1955 12:42:28,6981,0
15-Oct-1955 23:17:31,6978,0
15-Nov-1955 09:00:00,6889,0
15-Dec-1955 18:42:28,6755,0
15-Jan-1956 06:17:34,6966,0
14-Feb-1956 18:00:00,6758,0
16-Mar-1956 05:42:25,6841,0
15-Apr-1956 18:17:34,6877,1
16-May-1956 06:00:00,6847,0
15-Jun-1956 17:42:25,6898,1
16-Jul-1956 06:17:34,6874,0
15-Aug-1956 18:00:00,6975,0
15-Sep-1956 05:42:25,7045,0
15-Oct-1956 18:17:34,7084,0
15-Nov-1956 06:00:00,6914,1
15-Dec-1956 17:42:25,6807,0
15-Jan-1957 05:17:31,6743,0
14-Feb-1957 15:00:00,6892,0
17-Mar-1957 00:42:28,6972,0
16-Apr-1957 11:17:31,6807,1
16-May-1957 21:00:00,6902,1
16-Jun-1957 06:42:28,6911,0
16-Jul-1957 17:17:31,6898,0
16-Aug-1957 03:00:00,6950,0
15-Sep-1957 12:42:28,6959,0
15-Oct-1957 23:17:31,6990,0
15-Nov-1957 09:00:00,6883,1
15-Dec-1957 18:42:28,6767,0
15-Jan-1958 05:17:31,6865,0
14-Feb-1958 15:00:00,6804,0
17-Mar-1958 00:42:28,6993,0
16-Apr-1958 11:17:31,6947,0
16-May-1958 21:00:00,6874,0
16-Jun-1958 06:42:28,6895,0
16-Jul-1958 17:17:31,6847,0
16-Aug-1958 03:00:00,6962,0
15-Sep-1958 12:42:28,6959,0
15-Oct-1958 23:17:31,7078,0
15-Nov-1958 09:00:00,6938,0
15-Dec-1958 18:42:28,6856,1
15-Jan-1959 05:17:31,6746,0
14-Feb-1959 15:00:00,6728,0
17-Mar-1959 00:42:28,6822,0
16-Apr-1959 11:17:31,6871,0
16-May-1959 21:00:00,6789,1
16-Jun-1959 06:42:28,6877,0
16-Jul-1959 17:17:31,6847,0
16-Aug-1959 03:00:00,6935,0
15-Sep-1959 12:42:28,6969,0
15-Oct-1959 23:17:31,7017,0
15-Nov-1959 09:00:00,6911,0
15-Dec-1959 18:42:28,6874,0
15-Jan-1960 06:17:34,6862,0
14-Feb-1960 18:00:00,6862,0
16-Mar-1960 05:42:25,6871,0
15-Apr-1960 18:17:34,6874,0
16-May-1960 06:00:00,6969,0
15-Jun-1960 17:42:25,6972,0
16-Jul-1960 06:17:34,6953,0
15-Aug-1960 18:00:00,7030,0
15-Sep-1960 05:42:25,7066,0
15-Oct-1960 18:17:34,7033,0
15-Nov-1960 06:00:00,6911,0
15-Dec-1960 17:42:25,6813,0
15-Jan-1961 05:17:31,6795,0
14-Feb-1961 15:00:00,6883,0
17-Mar-1961 00:42:28,6975,0
16-Apr-1961 11:17:31,6950,0
16-May-1961 21:00:00,6914,0
16-Jun-1961 06:42:28,6856,0
16-Jul-1961 17:17:31,6877,0
16-Aug-1961 03:00:00,6902,0
15-Sep-1961 12:42:28,7026,0
15-Oct-1961 23:17:31,7002,0
15-Nov-1961 09:00:00,6941,0
15-Dec-1961 18:42:28,6841,0
15-Jan-1962 05:17:31,6752,0
14-Feb-1962 15:00:00,6886,0
17-Mar-1962 00:42:28,7048,0
16-Apr-1962 11:17:31,6789,0
16-May-1962 21:00:00,6908,0
16-Jun-1962 06:42:28,6911,0
16-Jul-1962 17:17:31,6920,0
16-Aug-1962 03:00:00,6966,0
15-Sep-1962 12:42:28,6984,0
15-Oct-1962 23:17:31,6987,0
15-Nov-1962 09:00:00,7066,0
15-Dec-1962 18:42:28,6877,0
15-Jan-1963 05:17:31,6801,0
14-Feb-1963 15:00:00,6734,0
17-Mar-1963 00:42:28,6834,0
16-Apr-1963 11:17:31,6859,0
16-May-1963 21:00:00,6828,0
16-Jun-1963 06:42:28,6898,0
16-Jul-1963 17:17:31,6895,0
16-Aug-1963 03:00:00,6883,0
15-Sep-1963 12:42:28,7023,0
15-Oct-1963 23:17:31,6962,0
15-Nov-1963 09:00:00,6917,0
15-Dec-1963 18:42:28,6792,0
15-Jan-1964 06:17:34,6810,0
14-Feb-1964 18:00:00,6801,0
16-Mar-1964 05:42:25,6831,0
15-Apr-1964 18:17:34,6792,0
16-May-1964 06:00:00,6892,0
15-Jun-1964 17:42:25,6871,0
16-Jul-1964 06:17:34,6868,0
15-Aug-1964 18:00:00,6932,0
15-Sep-1964 05:42:25,7051,0
15-Oct-1964 18:17:34,7005,0
15-Nov-1964 06:00:00,6935,0
15-Dec-1964 17:42:25,6841,0
15-Jan-1965 05:17:31,6880,0
14-Feb-1965 15:00:00,6838,0
17-Mar-1965 00:42:28,6871,0
16-Apr-1965 11:17:31,6932,0
16-May-1965 21:00:00,6877,0
16-Jun-1965 06:42:28,6911,0
16-Jul-1965 17:17:31,6886,0
16-Aug-1965 03:00:00,6841,0
15-Sep-1965 12:42:28,6917,0
15-Oct-1965 23:17:31,6883,0
15-Nov-1965 09:00:00,6889,0
15-Dec-1965 18:42:28,6813,0
15-Jan-1966 05:17:31,6886,0
14-Feb-1966 15:00:00,6834,0
17-Mar-1966 00:42:28,6856,0
16-Apr-1966 11:17:31,6877,0
16-May-1966 21:00:00,6880,0
16-Jun-1966 06:42:28,6880,0
16-Jul-1966 17:17:31,6905,0
16-Aug-1966 03:00:00,6923,0
15-Sep-1966 12:42:28,7020,0
15-Oct-1966 23:17:31,6923,0
15-Nov-1966 09:00:00,6889,0
15-Dec-1966 18:42:28,6850,0
15-Jan-1967 05:17:31,6789,0
14-Feb-1967 15:00:00,6816,0
17-Mar-1967 00:42:28,6853,0
16-Apr-1967 11:17:31,6935,0
16-May-1967 21:00:00,6962,0
16-Jun-1967 06:42:28,6975,0
16-Jul-1967 17:17:31,6978,0
16-Aug-1967 03:00:00,6941,0
15-Sep-1967 12:42:28,7042,0
15-Oct-1967 23:17:31,6950,0
15-Nov-1967 09:00:00,6892,0
15-Dec-1967 18:42:28,6959,0
15-Jan-1968 06:17:34,6841,0
14-Feb-1968 18:00:00,6841,0
16-Mar-1968 05:42:25,6816,0
15-Apr-1968 18:17:34,6874,0
16-May-1968 06:00:00,6950,0
15-Jun-1968 17:42:25,6953,0
16-Jul-1968 06:17:34,6929,0
15-Aug-1968 18:00:00,6947,0
15-Sep-1968 05:42:25,6999,0
15-Oct-1968 18:17:34,6935,0
15-Nov-1968 06:00:00,6950,0
15-Dec-1968 17:42:25,6764,0
15-Jan-1969 05:17:31,6801,0
14-Feb-1969 15:00:00,6935,0
17-Mar-1969 00:42:28,6911,0
16-Apr-1969 11:17:31,6831,0
16-May-1969 21:00:00,6862,0
16-Jun-1969 06:42:28,6962,0
16-Jul-1969 17:17:31,6993,0
16-Aug-1969 03:00:00,6953,0
15-Sep-1969 12:42:28,7039,0
15-Oct-1969 23:17:31,7054,0
15-Nov-1969 09:00:00,6999,0
15-Dec-1969 18:42:28,6892,0
15-Jan-1970 05:17:31,6850,0
14-Feb-1970 15:00:00,6834,0
17-Mar-1970 00:42:28,6886,0
16-Apr-1970 11:17:31,6956,0
16-May-1970 21:00:00,6917,0
16-Jun-1970 06:42:28,6938,0
16-Jul-1970 17:17:31,6908,0
16-Aug-1970 03:00:00,7005,0
15-Sep-1970 12:42:28,6953,0
15-Oct-1970 23:17:31,7060,0
15-Nov-1970 09:00:00,7069,0
15-Dec-1970 18:42:28,6978,0
15-Jan-1971 05:17:31,6859,0
14-Feb-1971 15:00:00,6853,0
17-Mar-1971 00:42:28,6874,0
