Date,SeaLevel,Issues
15-Apr-1944 18:17:34,7013,0
16-May-1944 06:00:00,7068,0
15-Jun-1944 17:42:25,7025,0
16-Jul-1944 06:17:34,6906,0
15-Aug-1944 18:00:00,6894,0
15-Sep-1944 05:42:25,7080,0
15-Oct-1944 18:17:34,7050,0
15-Nov-1944 06:00:00,7004,0
15-Dec-1944 17:42:25,6812,0
15-Jan-1945 05:17:31,6830,0
14-Feb-1945 15:00:00,6812,0
17-Mar-1945 00:42:28,6861,0
16-Apr-1945 11:17:31,7044,0
16-May-1945 21:00:00,6943,0
16-Jun-1945 06:42:28,6919,0
16-Jul-1945 17:17:31,6873,0
16-Aug-1945 03:00:00,6961,0
15-Sep-1945 12:42:28,7025,0
15-Oct-1945 23:17:31,7159,0
15-Nov-1945 09:00:00,6934,0
15-Dec-1945 18:42:28,6882,0
15-Jan-1946 05:17:31,6858,0
14-Feb-1946 15:00:00,6855,0
17-Mar-1946 00:42:28,6849,0
16-Apr-1946 11:17:31,6839,0
16-May-1946 21:00:00,6977,0
16-Jun-1946 06:42:28,6992,0
16-Jul-1946 17:17:31,6839,0
16-Aug-1946 03:00:00,6964,0
15-Sep-1946 12:42:28,7135,0
15-Oct-1946 23:17:31,7220,0
15-Nov-1946 09:00:00,7159,0
15-Dec-1946 18:42:28,7022,0
15-Jan-1947 05:17:31,6906,0
14-Feb-1947 15:00:00,6916,0
17-Mar-1947 00:42:28,6897,0
16-Apr-1947 11:17:31,6961,0
16-May-1947 21:00:00,6983,0
16-Jun-1947 06:42:28,6925,0
16-Jul-1947 17:17:31,6876,0
16-Aug-1947 03:00:00,7028,0
15-Sep-1947 12:42:28,7068,0
15-Oct-1947 23:17:31,7095,0
15-Nov-1947 09:00:00,7141,0
15-Dec-1947 18:42:28,7044,0
15-Jan-1948 06:17:34,6906,0
14-Feb-1948 18:00:00,6885,0
16-Mar-1948 05:42:25,7050,0
15-Apr-1948 18:17:34,7034,1
16-May-1948 06:00:00,7022,1
15-Jun-1948 17:42:25,6928,0
16-Jul-1948 06:17:34,6973,0
15-Aug-1948 18:00:00,7004,0
15-Sep-1948 05:42:25,7208,0
15-Oct-1948 18:17:34,7175,0
15-Nov-1948 06:00:00,7059,0
15-Dec-1948 17:42:25,6928,1
15-Jan-1949 05:17:31,6916,1
14-Feb-1949 15:00:00,6964,1
17-Mar-1949 00:42:28,7022,1
16-Apr-1949 11:17:31,6995,0
16-May-1949 21:00:00,6992,0
16-Jun-1949 06:42:28,6952,0
16-Jul-1949 17:17:31,6894,0
16-Aug-1949 03:00:00,6873,0
15-Sep-1949 12:42:28,7095,0
15-Oct-1949 23:17:31,7208,0
15-Nov-1949 09:00:00,6934,0
15-Dec-1949 18:42:28,7025,0
15-Jan-1950 05:17:31,7010,0
14-Feb-1950 15:00:00,6970,0
17-Mar-1950 00:42:28,6995,0
16-Apr-1950 11:17:31,7031,0
16-May-1950 21:00:00,6925,0
16-Jun-1950 06:42:28,6885,0
16-Jul-1950 17:17:31,6861,0
16-Aug-1950 03:00:00,6967,0
15-Sep-1950 12:42:28,7062,0
15-Oct-1950 23:17:31,7095,1
15-Nov-1950 09:00:00,6897,1
15-Dec-1950 18:42:28,6858,0
15-Jan-1951 05:17:31,6849,0
14-Feb-1951 15:00:00,6830,0
17-Mar-1951 00:42:28,6937,0
16-Apr-1951 11:17:31,6891,0
16-May-1951 21:00:00,6931,0
16-Jun-1951 06:42:28,6858,0
16-Jul-1951 17:17:31,6839,0
16-Aug-1951 03:00:00,6882,0
15-Sep-1951 12:42:28,7004,0
15-Oct-1951 23:17:31,7086,0
15-Nov-1951 09:00:00,6961,0
15-Dec-1951 18:42:28,6977,0
15-Jan-1952 06:17:34,6955,0
14-Feb-1952 18:00:00,6906,0
16-Mar-1952 05:42:25,7007,0
15-Apr-1952 18:17:34,6922,0
16-May-1952 06:00:00,6949,0
15-Jun-1952 17:42:25,6906,0
16-Jul-1952 06:17:34,6925,0
15-Aug-1952 18:00:00,6894,0
15-Sep-1952 05:42:25,7117,0
15-Oct-1952 18:17:34,7004,0
15-Nov-1952 06:00:00,6973,0
15-Dec-1952 17:42:25,6943,0
15-Jan-1953 05:17:31,6754,0
14-Feb-1953 15:00:00,6897,0
17-Mar-1953 00:42:28,6885,0
16-Apr-1953 11:17:31,6940,0
16-May-1953 21:00:00,6995,0
16-Jun-1953 06:42:28,6995,0
16-Jul-1953 17:17:31,6870,0
16-Aug-1953 03:00:00,6879,0
15-Sep-1953 12:42:28,7065,0
15-Oct-1953 23:17:31,7083,0
15-Nov-1953 09:00:00,6989,0
15-Dec-1953 18:42:28,6885,0
15-Jan-1954 05:17:31,6845,0
14-Feb-1954 15:00:00,6861,0
17-Mar-1954 00:42:28,6888,0
16-Apr-1954 11:17:31,6928,0
16-May-1954 21:00:00,6992,0
16-Jun-1954 06:42:28,6882,0
16-Jul-1954 17:17:31,6803,0
16-Aug-1954 03:00:00,6882,0
15-Sep-1954 12:42:28,7095,0
15-Oct-1954 23:17:31,7089,0
15-Nov-1954 09:00:00,6958,0
15-Dec-1954 18:42:28,6794,1
15-Jan-1955 05:17:31,6815,1
14-Feb-1955 15:00:00,6879,0
17-Mar-1955 00:42:28,6845,0
16-Apr-1955 11:17:31,6906,0
16-May-1955 21:00:00,6900,0
16-Jun-1955 06:42:28,6925,0
16-Jul-1955 17:17:31,6925,0
16-Aug-1955 03:00:00,6900,0
15-Sep-1955 12:42:28,7111,0
15-Oct-1955 23:17:31,7044,0
15-Nov-1955 09:00:00,7010,0
15-Dec-1955 18:42:28,6943,0
15-Jan-1956 06:17:34,6870,0
14-Feb-1956 18:00:00,6839,0
16-Mar-1956 05:42:25,6900,0
15-Apr-1956 18:17:34,6952,0
16-May-1956 06:00:00,6943,0
15-Jun-1956 17:42:25,6925,0
16-Jul-1956 06:17:34,6778,0
15-Aug-1956 18:00:00,6842,0
15-Sep-1956 05:42:25,7077,0
15-Oct-1956 18:17:34,7019,0
15-Nov-1956 06:00:00,6955,0
15-Dec-1956 17:42:25,6785,0
15-Jan-1957 05:17:31,6803,0
14-Feb-1957 15:00:00,6913,0
17-Mar-1957 00:42:28,6882,0
16-Apr-1957 11:17:31,6995,0
16-May-1957 21:00:00,7004,0
16-Jun-1957 06:42:28,7028,0
16-Jul-1957 17:17:31,6897,0
16-Aug-1957 03:00:00,6967,0
15-Sep-1957 12:42:28,7092,0
15-Oct-1957 23:17:31,7114,0
15-Nov-1957 09:00:00,7098,0
15-Dec-1957 18:42:28,6882,0
15-Jan-1958 05:17:31,6931,0
14-Feb-1958 15:00:00,6870,0
17-Mar-1958 00:42:28,6961,0
16-Apr-1958 11:17:31,6934,0
16-May-1958 21:00:00,6955,0
16-Jun-1958 06:42:28,6922,0
16-Jul-1958 17:17:31,6897,0
16-Aug-1958 03:00:00,6867,0
15-Sep-1958 12:42:28,7108,0
15-Oct-1958 23:17:31,7297,0
15-Nov-1958 09:00:00,7150,0
15-Dec-1958 18:42:28,6983,0
15-Jan-1959 05:17:31,6919,0
14-Feb-1959 15:00:00,6943,0
17-Mar-1959 00:42:28,6916,0
16-Apr-1959 11:17:31,6973,0
16-May-1959 21:00:00,7004,0
16-Jun-1959 06:42:28,6995,0
16-Jul-1959 17:17:31,6858,0
16-Aug-1959 03:00:00,6955,0
15-Sep-1959 12:42:28,7028,0
15-Oct-1959 23:17:31,7092,0
15-Nov-1959 09:00:00,6973,0
15-Dec-1959 18:42:28,6882,0
15-Jan-1960 06:17:34,6943,0
14-Feb-1960 18:00:00,6909,0
16-Mar-1960 05:42:25,6897,0
15-Apr-1960 18:17:34,6906,0
16-May-1960 06:00:00,6928,0
15-Jun-1960 17:42:25,6919,0
16-Jul-1960 06:17:34,6897,0
15-Aug-1960 18:00:00,6980,0
15-Sep-1960 05:42:25,7095,0
15-Oct-1960 18:17:34,7050,0
15-Nov-1960 06:00:00,7038,0
15-Dec-1960 17:42:25,7007,0
15-Jan-1961 05:17:31,6885,0
14-Feb-1961 15:00:00,6906,0
17-Mar-1961 00:42:28,6955,0
16-Apr-1961 11:17:31,6937,0
16-May-1961 21:00:00,6955,0
16-Jun-1961 06:42:28,6906,0
16-Jul-1961 17:17:31,6943,0
16-Aug-1961 03:00:00,7022,0
15-Sep-1961 12:42:28,7290,0
15-Oct-1961 23:17:31,7169,0
15-Nov-1961 09:00:00,7169,0
15-Dec-1961 18:42:28,7089,0
15-Jan-1962 05:17:31,6852,0
14-Feb-1962 15:00:00,6900,0
17-Mar-1962 00:42:28,7028,0
16-Apr-1962 11:17:31,6961,0
16-May-1962 21:00:00,6931,0
16-Jun-1962 06:42:28,6952,0
16-Jul-1962 17:17:31,6864,0
16-Aug-1962 03:00:00,6952,0
15-Sep-1962 12:42:28,7071,0
15-Oct-1962 23:17:31,7028,0
15-Nov-1962 09:00:00,6992,0
15-Dec-1962 18:42:28,6928,0
15-Jan-1963 05:17:31,6928,0
14-Feb-1963 15:00:00,6809,0
17-Mar-1963 00:42:28,6879,0
16-Apr-1963 11:17:31,6916,0
16-May-1963 21:00:00,6885,0
