Date,SeaLevel,Issues
15-Jan-1912 06:17:34,6871,0
14-Feb-1912 18:00:00,6917,0
16-Mar-1912 05:42:25,6874,0
15-Apr-1912 18:17:34,6978,0
16-May-1912 06:00:00,6999,0
15-Jun-1912 17:42:25,7030,0
16-Jul-1912 06:17:34,7054,0
15-Aug-1912 18:00:00,7066,0
15-Sep-1912 05:42:25,7066,0
15-Oct-1912 18:17:34,6999,0
15-Nov-1912 06:00:00,7005,0
15-Dec-1912 17:42:25,6911,0
15-Jan-1913 05:17:31,6917,0
14-Feb-1913 15:00:00,6914,0
17-Mar-1913 00:42:28,6847,0
16-Apr-1913 11:17:31,6950,0
16-May-1913 21:00:00,6956,0
16-Jun-1913 06:42:28,7020,0
16-Jul-1913 17:17:31,7008,0
16-Aug-1913 03:00:00,6999,0
15-Sep-1913 12:42:28,6959,0
15-Oct-1913 23:17:31,7054,0
15-Nov-1913 09:00:00,6978,0
15-Dec-1913 18:42:28,6984,0
15-Jan-1914 05:17:31,7042,0
14-Feb-1914 15:00:00,6898,0
17-Mar-1914 00:42:28,6956,0
16-Apr-1914 11:17:31,6932,0
16-May-1914 21:00:00,6978,0
16-Jun-1914 06:42:28,6959,0
16-Jul-1914 17:17:31,7027,0
16-Aug-1914 03:00:00,7014,0
15-Sep-1914 12:42:28,7045,0
15-Oct-1914 23:17:31,7011,0
15-Nov-1914 09:00:00,6993,0
15-Dec-1914 18:42:28,6966,0
15-Jan-1915 05:17:31,6944,0
14-Feb-1915 15:00:00,6975,0
17-Mar-1915 00:42:28,7011,0
16-Apr-1915 11:17:31,6932,0
16-May-1915 21:00:00,7051,0
16-Jun-1915 06:42:28,6993,0
16-Jul-1915 17:17:31,7045,0
16-Aug-1915 03:00:00,7027,0
15-Sep-1915 12:42:28,7020,0
15-Oct-1915 23:17:31,7008,0
15-Nov-1915 09:00:00,7023,0
15-Dec-1915 18:42:28,7054,0
15-Jan-1916 06:17:34,6938,0
14-Feb-1916 18:00:00,6962,0
16-Mar-1916 05:42:25,6978,0
15-Apr-1916 18:17:34,7033,0
16-May-1916 06:00:00,7042,0
15-Jun-1916 17:42:25,7075,0
16-Jul-1916 06:17:34,6990,0
15-Aug-1916 18:00:00,7039,0
15-Sep-1916 05:42:25,7005,0
15-Oct-1916 18:17:34,6950,0
15-Nov-1916 06:00:00,6981,0
15-Dec-1916 17:42:25,6959,0
15-Jan-1917 05:17:31,6959,0
14-Feb-1917 15:00:00,6947,0
17-Mar-1917 00:42:28,6972,0
16-Apr-1917 11:17:31,6959,0
16-May-1917 21:00:00,7084,0
16-Jun-1917 06:42:28,7042,0
16-Jul-1917 17:17:31,7027,0
16-Aug-1917 03:00:00,7023,0
15-Sep-1917 12:42:28,6981,0
15-Oct-1917 23:17:31,7045,0
15-Nov-1917 09:00:00,6990,0
15-Dec-1917 18:42:28,6962,0
15-Jan-1918 05:17:31,7048,0
14-Feb-1918 15:00:00,6966,0
17-Mar-1918 00:42:28,6975,0
16-Apr-1918 11:17:31,6993,0
16-May-1918 21:00:00,6970,0
16-Jun-1918 06:42:28,7027,0
16-Jul-1918 17:17:31,7011,0
16-Aug-1918 03:00:00,6978,0
15-Sep-1918 12:42:28,7002,0
15-Oct-1918 23:17:31,6981,0
15-Nov-1918 09:00:00,7017,0
15-Dec-1918 18:42:28,7033,0
15-Jan-1919 05:17:31,6944,0
14-Feb-1919 15:00:00,7008,0
17-Mar-1919 00:42:28,6981,0
16-Apr-1919 11:17:31,7023,0
16-May-1919 21:00:00,7054,0
16-Jun-1919 06:42:28,7030,0
16-Jul-1919 17:17:31,7057,0
16-Aug-1919 03:00:00,7054,0
15-Sep-1919 12:42:28,7045,0
15-Oct-1919 23:17:31,7017,0
15-Nov-1919 09:00:00,7124,0
15-Dec-1919 18:42:28,6987,0
15-Jan-1920 06:17:34,6978,0
14-Feb-1920 18:00:00,6969,0
16-Mar-1920 05:42:25,6895,0
15-Apr-1920 18:17:34,7072,0
16-May-1920 06:00:00,7002,0
15-Jun-1920 17:42:25,7051,0
16-Jul-1920 06:17:34,7027,0
15-Aug-1920 18:00:00,7005,0
15-Sep-1920 05:42:25,7033,0
15-Oct-1920 18:17:34,7078,0
15-Nov-1920 06:00:00,7020,0
15-Dec-1920 17:42:25,7048,0
15-Jan-1921 05:17:31,7033,0
14-Feb-1921 15:00:00,6996,0
17-Mar-1921 00:42:28,6926,0
16-Apr-1921 11:17:31,6984,0
16-May-1921 21:00:00,7057,0
16-Jun-1921 06:42:28,7027,0
16-Jul-1921 17:17:31,7008,0
16-Aug-1921 03:00:00,6941,0
15-Sep-1921 12:42:28,7005,0
15-Oct-1921 23:17:31,7023,0
15-Nov-1921 09:00:00,7020,0
15-Dec-1921 18:42:28,6969,0
15-Jan-1922 05:17:31,6841,0
14-Feb-1922 15:00:00,6911,0
17-Mar-1922 00:42:28,6956,0
16-Apr-1922 11:17:31,7011,0
16-May-1922 21:00:00,6941,0
16-Jun-1922 06:42:28,6987,0
16-Jul-1922 17:17:31,6972,0
16-Aug-1922 03:00:00,6987,0
15-Sep-1922 12:42:28,6969,0
15-Oct-1922 23:17:31,7017,0
15-Nov-1922 09:00:00,7011,0
15-Dec-1922 18:42:28,6944,0
15-Jan-1923 05:17:31,7039,0
14-Feb-1923 15:00:00,6975,0
17-Mar-1923 00:42:28,6959,0
16-Apr-1923 11:17:31,6990,0
16-May-1923 21:00:00,6993,0
16-Jun-1923 06:42:28,7005,0
