Date,SeaLevel,Issues
15-Dec-1937 18:42:28,6881,0
15-Jan-1938 05:17:31,6939,0
14-Feb-1938 15:00:00,6888,0
17-Mar-1938 00:42:28,6921,0
16-Apr-1938 11:17:31,6921,0
16-May-1938 21:00:00,6982,0
16-Jun-1938 06:42:28,6973,0
16-Jul-1938 17:17:31,6979,0
16-Aug-1938 03:00:00,7006,0
15-Sep-1938 12:42:28,7000,0
15-Oct-1938 23:17:31,7025,1
15-Nov-1938 09:00:00,6945,0
15-Dec-1938 18:42:28,6872,0
15-Jan-1939 05:17:31,6845,1
14-Feb-1939 15:00:00,6863,0
17-Mar-1939 00:42:28,6933,0
16-Apr-1939 11:17:31,6933,0
16-May-1939 21:00:00,6994,1
16-Jun-1939 06:42:28,7019,1
16-Jul-1939 17:17:31,7013,0
16-Aug-1939 03:00:00,7013,0
15-Sep-1939 12:42:28,7080,0
15-Oct-1939 23:17:31,6979,0
15-Nov-1939 09:00:00,6915,0
15-Dec-1939 18:42:28,6811,0
15-Jan-1940 06:17:34,6772,0
14-Feb-1940 18:00:00,6921,1
16-Mar-1940 05:42:25,6891,0
15-Apr-1940 18:17:34,6939,0
16-May-1940 06:00:00,7046,0
15-Jun-1940 17:42:25,7016,0
16-Jul-1940 06:17:34,6976,0
15-Aug-1940 18:00:00,7101,0
15-Sep-1940 05:42:25,7040,0
15-Oct-1940 18:17:34,7009,0
15-Nov-1940 06:00:00,6900,0
15-Dec-1940 17:42:25,6915,0
15-Jan-1941 05:17:31,6918,0
14-Feb-1941 15:00:00,6775,0
17-Mar-1941 00:42:28,6793,0
16-Apr-1941 11:17:31,6976,0
16-May-1941 21:00:00,6924,0
16-Jun-1941 06:42:28,7022,0
16-Jul-1941 17:17:31,7022,0
16-Aug-1941 03:00:00,6994,0
15-Sep-1941 12:42:28,7013,0
15-Oct-1941 23:17:31,6958,0
15-Nov-1941 09:00:00,6903,0
15-Dec-1941 18:42:28,6860,0
15-Jan-1942 05:17:31,6842,0
14-Feb-1942 15:00:00,6802,0
17-Mar-1942 00:42:28,6921,0
16-Apr-1942 11:17:31,6942,0
16-May-1942 21:00:00,6988,0
16-Jun-1942 06:42:28,7055,0
16-Jul-1942 17:17:31,7022,0
16-Aug-1942 03:00:00,7052,0
15-Sep-1942 12:42:28,7101,0
15-Oct-1942 23:17:31,7113,0
15-Nov-1942 09:00:00,6955,0
15-Dec-1942 18:42:28,6857,0
15-Jan-1943 05:17:31,6869,0
14-Feb-1943 15:00:00,6830,0
17-Mar-1943 00:42:28,6869,0
16-Apr-1943 11:17:31,6909,0
16-May-1943 21:00:00,6958,0
16-Jun-1943 06:42:28,7013,0
16-Jul-1943 17:17:31,7019,0
16-Aug-1943 03:00:00,7037,0
15-Sep-1943 12:42:28,7034,0
15-Oct-1943 23:17:31,7046,0
15-Nov-1943 09:00:00,6918,0
15-Dec-1943 18:42:28,6784,0
15-Jan-1944 06:17:34,6854,0
14-Feb-1944 18:00:00,6839,0
16-Mar-1944 05:42:25,6936,0
15-Apr-1944 18:17:34,6949,0
16-May-1944 06:00:00,6997,0
15-Jun-1944 17:42:25,7040,0
16-Jul-1944 06:17:34,7040,0
15-Aug-1944 18:00:00,7025,0
15-Sep-1944 05:42:25,7052,0
15-Oct-1944 18:17:34,7028,0
15-Nov-1944 06:00:00,7034,0
15-Dec-1944 17:42:25,6784,0
15-Jan-1945 05:17:31,6836,0
14-Feb-1945 15:00:00,6848,0
17-Mar-1945 00:42:28,6945,0
16-Apr-1945 11:17:31,6976,0
16-May-1945 21:00:00,7046,0
16-Jun-1945 06:42:28,7049,0
16-Jul-1945 17:17:31,7077,0
16-Aug-1945 03:00:00,7077,0
15-Sep-1945 12:42:28,7150,0
15-Oct-1945 23:17:31,7055,0
15-Nov-1945 09:00:00,7058,0
15-Dec-1945 18:42:28,7046,0
15-Jan-1946 05:17:31,6918,0
14-Feb-1946 15:00:00,6863,0
17-Mar-1946 00:42:28,7016,0
16-Apr-1946 11:17:31,7025,0
16-May-1946 21:00:00,7034,0
16-Jun-1946 06:42:28,7052,0
16-Jul-1946 17:17:31,7095,0
16-Aug-1946 03:00:00,7101,0
15-Sep-1946 12:42:28,7113,0
15-Oct-1946 23:17:31,7104,0
15-Nov-1946 09:00:00,7025,0
15-Dec-1946 18:42:28,6881,0
15-Jan-1947 05:17:31,6906,0
14-Feb-1947 15:00:00,6781,0
17-Mar-1947 00:42:28,6863,0
16-Apr-1947 11:17:31,6973,0
16-May-1947 21:00:00,6997,0
16-Jun-1947 06:42:28,7101,0
16-Jul-1947 17:17:31,7034,0
16-Aug-1947 03:00:00,7095,0
15-Sep-1947 12:42:28,7110,0
15-Oct-1947 23:17:31,7049,0
15-Nov-1947 09:00:00,7128,0
15-Dec-1947 18:42:28,6845,0
15-Jan-1948 06:17:34,6845,0
14-Feb-1948 18:00:00,6927,0
16-Mar-1948 05:42:25,6976,0
15-Apr-1948 18:17:34,6976,0
16-May-1948 06:00:00,7049,0
15-Jun-1948 17:42:25,7095,0
16-Jul-1948 06:17:34,7058,0
15-Aug-1948 18:00:00,7037,0
15-Sep-1948 05:42:25,7107,0
15-Oct-1948 18:17:34,7113,0
15-Nov-1948 06:00:00,7058,0
15-Dec-1948 17:42:25,7009,0
15-Jan-1949 05:17:31,6961,0
14-Feb-1949 15:00:00,6967,0
17-Mar-1949 00:42:28,6857,0
16-Apr-1949 11:17:31,6967,0
16-May-1949 21:00:00,7037,0
16-Jun-1949 06:42:28,7067,0
16-Jul-1949 17:17:31,7049,0
16-Aug-1949 03:00:00,7086,0
15-Sep-1949 12:42:28,7055,0
15-Oct-1949 23:17:31,7104,0
15-Nov-1949 09:00:00,6970,0
15-Dec-1949 18:42:28,6817,0
15-Jan-1950 05:17:31,6848,0
14-Feb-1950 15:00:00,6906,0
17-Mar-1950 00:42:28,6781,0
16-Apr-1950 11:17:31,6915,0
16-May-1950 21:00:00,6988,0
16-Jun-1950 06:42:28,6955,0
16-Jul-1950 17:17:31,6979,0
16-Aug-1950 03:00:00,7055,0
15-Sep-1950 12:42:28,7131,0
15-Oct-1950 23:17:31,7095,0
15-Nov-1950 09:00:00,7034,0
15-Dec-1950 18:42:28,6973,0
15-Jan-1951 05:17:31,6875,0
14-Feb-1951 15:00:00,6918,0
17-Mar-1951 00:42:28,7073,0
16-Apr-1951 11:17:31,7006,0
16-May-1951 21:00:00,7055,0
16-Jun-1951 06:42:28,7150,0
16-Jul-1951 17:17:31,7043,0
