Date,SeaLevel,Issues
17-Mar-1977 00:42:28,6873,0
16-Apr-1977 11:17:31,6828,0
16-May-1977 21:00:00,6965,0
16-Jun-1977 06:42:28,7014,0
16-Jul-1977 17:17:31,6898,0
16-Aug-1977 03:00:00,6959,0
15-Sep-1977 12:42:28,7023,0
15-Oct-1977 23:17:31,6986,0
15-Nov-1977 09:00:00,7050,0
15-Dec-1977 18:42:28,6913,0
15-Jan-1978 05:17:31,6742,0
14-Feb-1978 15:00:00,6907,0
17-Mar-1978 00:42:28,6886,0
16-Apr-1978 11:17:31,6907,0
16-May-1978 21:00:00,6910,0
16-Jun-1978 06:42:28,6913,0
16-Jul-1978 17:17:31,6931,1
16-Aug-1978 03:00:00,6928,0
15-Sep-1978 12:42:28,7084,0
15-Oct-1978 23:17:31,7065,0
15-Nov-1978 09:00:00,7087,0
15-Dec-1978 18:42:28,6852,0
15-Jan-1979 05:17:31,6755,0
14-Feb-1979 15:00:00,6812,0
17-Mar-1979 00:42:28,6809,0
16-Apr-1979 11:17:31,6883,0
16-May-1979 21:00:00,6870,0
16-Jun-1979 06:42:28,6977,0
16-Jul-1979 17:17:31,6937,0
16-Aug-1979 03:00:00,6928,0
15-Sep-1979 12:42:28,7038,0
15-Oct-1979 23:17:31,6968,0
15-Nov-1979 09:00:00,6916,0
15-Dec-1979 18:42:28,6904,0
15-Jan-1980 06:17:34,NaN,1
14-Feb-1980 18:00:00,NaN,1
16-Mar-1980 05:42:25,NaN,1
15-Apr-1980 18:17:34,NaN,1
16-May-1980 06:00:00,NaN,1
15-Jun-1980 17:42:25,NaN,1
16-Jul-1980 06:17:34,NaN,1
15-Aug-1980 18:00:00,NaN,1
15-Sep-1980 05:42:25,NaN,1
15-Oct-1980 18:17:34,NaN,1
15-Nov-1980 06:00:00,NaN,1
15-Dec-1980 17:42:25,NaN,1
15-Jan-1981 05:17:31,NaN,1
14-Feb-1981 15:00:00,NaN,1
17-Mar-1981 00:42:28,NaN,1
16-Apr-1981 11:17:31,NaN,1
16-May-1981 21:00:00,NaN,1
16-Jun-1981 06:42:28,NaN,1
16-Jul-1981 17:17:31,NaN,1
16-Aug-1981 03:00:00,NaN,1
15-Sep-1981 12:42:28,NaN,1
15-Oct-1981 23:17:31,NaN,1
15-Nov-1981 09:00:00,NaN,1
15-Dec-1981 18:42:28,NaN,1
15-Jan-1982 05:17:31,NaN,1
14-Feb-1982 15:00:00,NaN,1
17-Mar-1982 00:42:28,NaN,1
16-Apr-1982 11:17:31,NaN,1
16-May-1982 21:00:00,NaN,1
16-Jun-1982 06:42:28,NaN,1
16-Jul-1982 17:17:31,NaN,1
16-Aug-1982 03:00:00,NaN,1
15-Sep-1982 12:42:28,NaN,1
15-Oct-1982 23:17:31,NaN,1
15-Nov-1982 09:00:00,NaN,1
15-Dec-1982 18:42:28,NaN,1
15-Jan-1983 05:17:31,NaN,1
14-Feb-1983 15:00:00,NaN,1
17-Mar-1983 00:42:28,NaN,1
16-Apr-1983 11:17:31,NaN,1
16-May-1983 21:00:00,NaN,1
16-Jun-1983 06:42:28,NaN,1
16-Jul-1983 17:17:31,NaN,1
16-Aug-1983 03:00:00,NaN,1
15-Sep-1983 12:42:28,NaN,1
15-Oct-1983 23:17:31,NaN,1
15-Nov-1983 09:00:00,NaN,1
15-Dec-1983 18:42:28,NaN,1
15-Jan-1984 06:17:34,6977,0
14-Feb-1984 18:00:00,6846,0
16-Mar-1984 05:42:25,6943,0
15-Apr-1984 18:17:34,7011,0
16-May-1984 06:00:00,6919,0
15-Jun-1984 17:42:25,7008,0
16-Jul-1984 06:17:34,6901,0
15-Aug-1984 18:00:00,6983,0
15-Sep-1984 05:42:25,7068,0
15-Oct-1984 18:17:34,7196,0
15-Nov-1984 06:00:00,7132,0
15-Dec-1984 17:42:25,7017,0
15-Jan-1985 05:17:31,6919,0
14-Feb-1985 15:00:00,6876,0
17-Mar-1985 00:42:28,6916,0
16-Apr-1985 11:17:31,6904,0
16-May-1985 21:00:00,7081,0
16-Jun-1985 06:42:28,NaN,1
16-Jul-1985 17:17:31,7017,0
16-Aug-1985 03:00:00,7111,0
15-Sep-1985 12:42:28,7154,0
15-Oct-1985 23:17:31,7242,0
15-Nov-1985 09:00:00,7090,0
15-Dec-1985 18:42:28,6898,0
15-Jan-1986 05:17:31,6892,0
14-Feb-1986 15:00:00,NaN,1
17-Mar-1986 00:42:28,6870,0
16-Apr-1986 11:17:31,7072,0
16-May-1986 21:00:00,7108,0
16-Jun-1986 06:42:28,7126,0
16-Jul-1986 17:17:31,7035,0
16-Aug-1986 03:00:00,7038,0
