Date,SeaLevel,Issues
15-Jan-1947 05:17:31,6964,0
14-Feb-1947 15:00:00,6894,0
17-Mar-1947 00:42:28,6916,0
16-Apr-1947 11:17:31,6940,0
16-May-1947 21:00:00,7044,0
16-Jun-1947 06:42:28,7099,0
16-Jul-1947 17:17:31,7038,0
16-Aug-1947 03:00:00,7080,0
15-Sep-1947 12:42:28,7019,0
15-Oct-1947 23:17:31,7166,0
15-Nov-1947 09:00:00,7159,0
15-Dec-1947 18:42:28,7089,0
15-Jan-1948 06:17:34,6952,0
14-Feb-1948 18:00:00,6980,0
16-Mar-1948 05:42:25,7138,0
15-Apr-1948 18:17:34,7077,0
16-May-1948 06:00:00,7111,0
15-Jun-1948 17:42:25,7123,0
16-Jul-1948 06:17:34,7126,0
15-Aug-1948 18:00:00,7117,0
15-Sep-1948 05:42:25,7135,0
15-Oct-1948 18:17:34,7138,0
15-Nov-1948 06:00:00,7102,0
15-Dec-1948 17:42:25,6995,0
15-Jan-1949 05:17:31,6949,0
14-Feb-1949 15:00:00,6955,0
17-Mar-1949 00:42:28,6961,0
16-Apr-1949 11:17:31,7001,0
16-May-1949 21:00:00,7019,0
16-Jun-1949 06:42:28,7102,0
16-Jul-1949 17:17:31,7102,0
16-Aug-1949 03:00:00,7132,0
15-Sep-1949 12:42:28,7163,0
15-Oct-1949 23:17:31,7193,0
15-Nov-1949 09:00:00,7025,0
15-Dec-1949 18:42:28,6931,0
15-Jan-1950 05:17:31,7019,0
14-Feb-1950 15:00:00,6961,0
17-Mar-1950 00:42:28,6940,0
16-Apr-1950 11:17:31,6986,0
16-May-1950 21:00:00,7031,0
16-Jun-1950 06:42:28,7019,0
16-Jul-1950 17:17:31,7065,0
16-Aug-1950 03:00:00,7141,0
15-Sep-1950 12:42:28,7156,0
15-Oct-1950 23:17:31,7083,0
15-Nov-1950 09:00:00,7038,0
15-Dec-1950 18:42:28,7001,0
15-Jan-1951 05:17:31,6934,0
14-Feb-1951 15:00:00,6900,0
17-Mar-1951 00:42:28,6995,0
16-Apr-1951 11:17:31,6964,0
16-May-1951 21:00:00,6980,0
16-Jun-1951 06:42:28,7053,0
