Date,SeaLevel,Issues
14-Feb-1994 15:00:00,5895,0
17-Mar-1994 00:42:28,5847,0
16-Apr-1994 11:17:31,5815,0
16-May-1994 21:00:00,5937,0
16-Jun-1994 06:42:28,5869,0
16-Jul-1994 17:17:31,5841,0
16-Aug-1994 03:00:00,5905,0
15-Sep-1994 12:42:28,5994,0
15-Oct-1994 23:17:31,6090,0
15-Nov-1994 09:00:00,6078,0
15-Dec-1994 18:42:28,6053,0
15-Jan-1995 05:17:31,5877,0
14-Feb-1995 15:00:00,5771,0
17-Mar-1995 00:42:28,5964,0
16-Apr-1995 11:17:31,5983,0
16-May-1995 21:00:00,5956,0
16-Jun-1995 06:42:28,5902,0
16-Jul-1995 17:17:31,5928,0
16-Aug-1995 03:00:00,6024,0
15-Sep-1995 12:42:28,6130,0
15-Oct-1995 23:17:31,6117,0
15-Nov-1995 09:00:00,5994,0
15-Dec-1995 18:42:28,5951,0
15-Jan-1996 06:17:34,5892,0
14-Feb-1996 18:00:00,5810,0
16-Mar-1996 05:42:25,5817,0
15-Apr-1996 18:17:34,5894,0
16-May-1996 06:00:00,5861,0
15-Jun-1996 17:42:25,5837,0
16-Jul-1996 06:17:34,5861,0
15-Aug-1996 18:00:00,5881,0
15-Sep-1996 05:42:25,5949,0
15-Oct-1996 18:17:34,6068,0
15-Nov-1996 06:00:00,6059,0
15-Dec-1996 17:42:25,5911,0
15-Jan-1997 05:17:31,5892,0
14-Feb-1997 15:00:00,5884,0
17-Mar-1997 00:42:28,5894,0
16-Apr-1997 11:17:31,5962,0
16-May-1997 21:00:00,5916,0
16-Jun-1997 06:42:28,5963,0
16-Jul-1997 17:17:31,5917,0
16-Aug-1997 03:00:00,5957,0
15-Sep-1997 12:42:28,6008,0
15-Oct-1997 23:17:31,NaN,1
15-Nov-1997 09:00:00,NaN,1
15-Dec-1997 18:42:28,5865,0
15-Jan-1998 05:17:31,5871,0
14-Feb-1998 15:00:00,5936,0
17-Mar-1998 00:42:28,5900,0
16-Apr-1998 11:17:31,5860,0
16-May-1998 21:00:00,5894,0
16-Jun-1998 06:42:28,5871,0
16-Jul-1998 17:17:31,5880,0
16-Aug-1998 03:00:00,5939,0
15-Sep-1998 12:42:28,5992,0
15-Oct-1998 23:17:31,5998,0
15-Nov-1998 09:00:00,5925,0
15-Dec-1998 18:42:28,5891,0
15-Jan-1999 05:17:31,5912,0
14-Feb-1999 15:00:00,5975,0
17-Mar-1999 00:42:28,5890,0
16-Apr-1999 11:17:31,5916,0
16-May-1999 21:00:00,5959,0
16-Jun-1999 06:42:28,5942,0
16-Jul-1999 17:17:31,5930,0
16-Aug-1999 03:00:00,5981,0
15-Sep-1999 12:42:28,6166,0
15-Oct-1999 23:17:31,6139,0
15-Nov-1999 09:00:00,6076,0
15-Dec-1999 18:42:28,5955,0
15-Jan-2000 06:17:34,5902,0
14-Feb-2000 18:00:00,5875,0
16-Mar-2000 05:42:25,5888,0
15-Apr-2000 18:17:34,5900,0
