Station_Name,State_Abbr,Lat,Long
Port Isabel,TX,26.06,-97.215
Rockport,TX,28.021667,-97.046667
Galveston,TX,29.31,-94.793333
Grand Isle,LA,29.263333,-89.956667
New Canal Station,LA,30.026667,-90.113333
Pensacola,FL,30.403333,-87.21
Dauphin Island,AL,30.25,-88.075
Apalachicola,FL,29.726667,-84.981667
Cedar Key II,FL,29.135,-83.031667
St. Petersburg,FL,27.76,-82.626667
Fort Myers,FL,26.646667,-81.87
Virginia Key (Miami),FL,25.73,-80.161667
Lake Worth Pier (Palm Beach),FL,26.611667,-80.033333
Key West,FL,24.555,-81.806667
Fort Pulaski,GA,32.033333,-80.901667
Charleston,SC,32.781667,-79.925
Springmaid Pier,SC,33.655,-78.918333
Wilmington,SC,34.226667,-77.953333
Beaufort,NC,34.72,-76.67
Cape Hatteras,NC,35.223333,-75.635
Duck Pier,NC,36.183333,-75.746667
Sewells Point,VA,36.946667,-76.33
Chesapeake Bay Br Tun,VA,36.966667,-76.113333
Kiptopeke Beach,VA,37.165,-75.988333
Solomon's Island,MD,38.316667,-76.451667
Cambridge II,MD,38.573333,-76.068333
Annapolis,MD,38.983333,-76.48
Breakwater Harbor,DE,38.781667,-75.12
Reedy Point,DE,39.558333,-75.573333
Atlantic City,NJ,39.355,-74.418333
Sandy Hook,NJ,40.466667,-74.008333
Kings Point,NY,40.81,-73.765
Montauk,NY,41.048333,-71.96
New London,CT,41.36,-72.09
Newport,RI,41.505,-71.326667
Providence,RI,41.806667,-71.4
Nantucket,MA,41.285,-70.096667
Boston,MA,42.353333,-71.053333
Portland,ME,43.656667,-70.246667
Eastport,ME,44.903333,-66.981667
Bar Harbor,ME,44.391667,-68.205
Yarmouth,Nova Scotia,43.833333,-66.133333
North Sydney,Nova Scotia,46.216667,-60.25
Lower Escuminac,New Brunswick,47.083333,-64.883333
Riviere-Au-Renard,Canada,49,-64.383333
Sept-Iles,Canada,50.2,-66.4
Rimouski,Canada,48.483333,-68.516667
St Joseph De La Rive,Canada,47.45,-70.366667
Neuville,Canada,46.7,-71.566667
St Francois,Canada,47,-70.816667
Port Aux Basques,Canada,47.566667,-59.133333
St. John's,Canada,47.566667,-52.716667
